Time,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.7,-0.0063,0.4204,0.4395,0.3566,0.3923,0.3745,0.4888,0.4701,0.4794,0.4547,0.3465,0.4006
11.8,0.0239,0.4173,0.4457,0.3547,0.3772,0.366,0.4933,0.4786,0.486,0.4584,0.3729,0.4157
11.9,0.0567,0.4148,0.4532,0.3548,0.3651,0.36,0.4993,0.4894,0.4943,0.4636,0.4002,0.4319
12,0.0909,0.4131,0.4611,0.3569,0.3562,0.3565,0.5062,0.5017,0.504,0.4696,0.4271,0.4484
12.1,0.1259,0.4124,0.4691,0.3613,0.3504,0.3558,0.5136,0.5151,0.5143,0.4762,0.453,0.4646
12.2,0.1611,0.4131,0.4775,0.3683,0.3478,0.3581,0.5216,0.5293,0.5254,0.4831,0.4769,0.48
12.3,0.1959,0.4154,0.4866,0.3785,0.3484,0.3635,0.5304,0.5442,0.5373,0.4907,0.4985,0.4946
12.4,0.2308,0.4194,0.4965,0.3921,0.3519,0.372,0.5402,0.5594,0.5498,0.4993,0.5176,0.5084
12.5,0.2655,0.4248,0.5071,0.4091,0.3576,0.3833,0.5509,0.5742,0.5625,0.5088,0.534,0.5214
12.6,0.2992,0.4314,0.5177,0.4287,0.3649,0.3968,0.5619,0.5881,0.575,0.5189,0.5476,0.5332
12.7,0.3308,0.4389,0.5282,0.4501,0.3732,0.4116,0.5729,0.6009,0.5869,0.5293,0.5583,0.5438
12.8,0.3588,0.4474,0.5389,0.4726,0.3818,0.4272,0.584,0.6131,0.5986,0.5404,0.5664,0.5534
12.9,0.3816,0.4569,0.5499,0.4953,0.3907,0.443,0.595,0.6245,0.6098,0.5526,0.5727,0.5627
13,0.3974,0.4677,0.5617,0.5178,0.3998,0.4588,0.6053,0.6351,0.6202,0.5665,0.5776,0.5721
13.1,0.405,0.48,0.5743,0.5393,0.4092,0.4742,0.614,0.6443,0.6292,0.5816,0.5813,0.5814
13.2,0.4034,0.494,0.5881,0.5588,0.419,0.4889,0.6205,0.652,0.6363,0.5974,0.5836,0.5905
13.3,0.393,0.5092,0.6028,0.5751,0.4296,0.5023,0.6247,0.6582,0.6414,0.6133,0.5849,0.5991
13.4,0.3751,0.5246,0.6178,0.5876,0.4407,0.5141,0.627,0.663,0.645,0.6293,0.5856,0.6074
13.5,0.3517,0.5393,0.632,0.5962,0.4522,0.5242,0.6278,0.6665,0.6472,0.6453,0.5862,0.6158
