Time,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC,Visa - Behind Every Number There is a Story 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
16.4,-0.0054,0.3253,0.4222,0.3601,0.1573,0.2587,0.4967,0.5037,0.5002,0.5754,0.5407,0.5581
16.5,0.0377,0.3227,0.4295,0.3757,0.1625,0.2691,0.4794,0.5052,0.4923,0.5726,0.5497,0.5611
16.6,0.0809,0.3241,0.4383,0.3976,0.1733,0.2855,0.4638,0.5097,0.4867,0.5684,0.5595,0.5639
16.7,0.123,0.3284,0.4481,0.425,0.1893,0.3071,0.4504,0.5165,0.4835,0.563,0.57,0.5665
16.8,0.1633,0.3343,0.4586,0.4555,0.2086,0.332,0.4395,0.5244,0.4819,0.5564,0.5808,0.5686
16.9,0.2003,0.34,0.4692,0.4858,0.2289,0.3574,0.4305,0.5324,0.4815,0.5487,0.5916,0.5701
17,0.2335,0.3451,0.4796,0.5135,0.2481,0.3808,0.423,0.5399,0.4815,0.5399,0.6024,0.5711
17.1,0.2629,0.3496,0.4897,0.5373,0.265,0.4011,0.4163,0.5468,0.4815,0.5302,0.6129,0.5716
17.2,0.2884,0.3541,0.4995,0.5572,0.28,0.4186,0.4103,0.5535,0.4819,0.5203,0.6224,0.5714
17.3,0.3105,0.3594,0.5088,0.5739,0.2941,0.434,0.4058,0.56,0.4829,0.5106,0.6305,0.5705
17.4,0.3304,0.3663,0.517,0.5884,0.3078,0.4481,0.4032,0.5666,0.4849,0.502,0.6365,0.5693
17.5,0.3492,0.3745,0.5245,0.6006,0.3213,0.4609,0.4029,0.5735,0.4882,0.4956,0.6407,0.5682
17.6,0.3665,0.3836,0.5314,0.6107,0.3344,0.4725,0.4052,0.5812,0.4932,0.4924,0.6434,0.5679
17.7,0.3819,0.3937,0.5376,0.6186,0.3475,0.4831,0.4096,0.5899,0.4997,0.4931,0.6441,0.5686
17.8,0.3947,0.4051,0.5428,0.6248,0.3616,0.4932,0.4159,0.5994,0.5077,0.4979,0.6425,0.5702
17.9,0.4048,0.4184,0.5467,0.6293,0.3774,0.5034,0.4242,0.6096,0.5169,0.5072,0.6381,0.5727
18,0.4131,0.4334,0.5497,0.6325,0.3951,0.5138,0.4349,0.6205,0.5277,0.5214,0.6316,0.5765
18.1,0.4209,0.4495,0.5526,0.6344,0.4144,0.5244,0.4483,0.6327,0.5405,0.5405,0.6237,0.5821
18.2,0.4283,0.4667,0.5558,0.6351,0.4356,0.5353,0.4646,0.6469,0.5557,0.5633,0.615,0.5891
18.3,0.4342,0.4853,0.5596,0.6348,0.4592,0.547,0.4836,0.6633,0.5735,0.5874,0.6055,0.5965
18.4,0.4368,0.506,0.5638,0.634,0.4855,0.5598,0.5046,0.682,0.5933,0.6106,0.5955,0.603
18.5,0.4341,0.5288,0.5686,0.6332,0.5142,0.5737,0.5265,0.7024,0.6145,0.631,0.5851,0.608
18.6,0.4253,0.5533,0.574,0.6325,0.5437,0.5881,0.5483,0.7243,0.6363,0.6478,0.5748,0.6113
18.7,0.4109,0.5793,0.5801,0.6322,0.5728,0.6025,0.5691,0.7472,0.6582,0.6609,0.5657,0.6133
18.8,0.3923,0.6065,0.5869,0.6325,0.6009,0.6167,0.5883,0.7709,0.6796,0.6705,0.5586,0.6145
18.9,0.3708,0.6344,0.5942,0.6336,0.6273,0.6305,0.6051,0.7948,0.6999,0.6767,0.5544,0.6156
