Time,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.5,0.1838,0.5556,0.6356,0.591,0.5136,0.5523,0.6316,0.558,0.5948,0.6565,0.6499,0.6532
10.6,0.1815,0.566,0.6377,0.6047,0.5184,0.5615,0.6459,0.5484,0.5971,0.6678,0.6541,0.661
10.7,0.1781,0.5749,0.6393,0.6155,0.5236,0.5695,0.6596,0.5392,0.5994,0.6786,0.6573,0.668
10.8,0.1743,0.5826,0.6404,0.6226,0.5288,0.5757,0.6718,0.5306,0.6012,0.6882,0.6592,0.6737
10.9,0.171,0.5895,0.6409,0.6263,0.5333,0.5798,0.6823,0.5226,0.6025,0.6963,0.6596,0.6779
11,0.1686,0.5956,0.6404,0.6268,0.5371,0.582,0.6912,0.5152,0.6032,0.7026,0.6585,0.6806
11.1,0.1664,0.6002,0.6388,0.6241,0.5395,0.5818,0.698,0.5081,0.6031,0.7071,0.6563,0.6817
11.2,0.1639,0.6027,0.6357,0.6178,0.5402,0.579,0.7022,0.5017,0.602,0.7099,0.6533,0.6816
11.3,0.1605,0.6024,0.6315,0.608,0.5387,0.5734,0.7033,0.4961,0.5997,0.7108,0.6494,0.6801
11.4,0.156,0.5994,0.6266,0.5951,0.5353,0.5652,0.7012,0.4916,0.5964,0.7102,0.6451,0.6776
11.5,0.1501,0.5935,0.6218,0.5794,0.5302,0.5548,0.6958,0.4882,0.592,0.7081,0.6405,0.6743
11.6,0.1417,0.5849,0.6175,0.5612,0.5237,0.5425,0.6873,0.4862,0.5868,0.7045,0.6362,0.6704
11.7,0.1301,0.574,0.6139,0.5407,0.5161,0.5284,0.676,0.4859,0.581,0.6992,0.6322,0.6657
11.8,0.1152,0.5615,0.6109,0.5176,0.5075,0.5126,0.6622,0.4875,0.5749,0.6923,0.6287,0.6605
11.9,0.0973,0.5482,0.6084,0.4923,0.4982,0.4952,0.6463,0.4909,0.5686,0.6847,0.6259,0.6553
12,0.0755,0.5348,0.6063,0.4656,0.4887,0.4771,0.6289,0.4959,0.5624,0.6773,0.6237,0.6505
12.1,0.0487,0.522,0.6048,0.4386,0.4801,0.4593,0.6109,0.5023,0.5566,0.6708,0.6225,0.6466
12.2,0.016,0.5101,0.6042,0.4118,0.4736,0.4427,0.5932,0.5102,0.5517,0.6655,0.6222,0.6439
12.3,-0.0219,0.4995,0.6045,0.3858,0.4698,0.4278,0.577,0.5195,0.5482,0.6618,0.6226,0.6422
12.4,-0.0628,0.4908,0.6053,0.3608,0.4683,0.4146,0.5627,0.53,0.5463,0.6599,0.6237,0.6418
