Time,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.8,0.1172,0.5769,0.3347,0.3725,0.5086,0.4405,0.2736,0.47,0.3718,0.1519,0.3118,0.2319
9.9,0.1378,0.5711,0.3413,0.3743,0.4907,0.4325,0.2606,0.4668,0.3637,0.1556,0.306,0.2308
10,0.1568,0.5668,0.3479,0.3784,0.475,0.4267,0.249,0.4642,0.3566,0.156,0.2998,0.2279
10.1,0.1723,0.5642,0.3546,0.3849,0.4617,0.4233,0.2395,0.4619,0.3507,0.1534,0.2934,0.2234
10.2,0.1839,0.5635,0.3614,0.3934,0.4507,0.4221,0.2327,0.46,0.3463,0.1488,0.2877,0.2183
10.3,0.1923,0.5647,0.3682,0.4036,0.4419,0.4228,0.2288,0.4586,0.3437,0.1433,0.2834,0.2133
10.4,0.198,0.5677,0.3747,0.4149,0.4349,0.4249,0.2279,0.458,0.3429,0.1372,0.281,0.2091
10.5,0.2009,0.5719,0.3804,0.4269,0.4294,0.4281,0.23,0.4581,0.3441,0.1309,0.2806,0.2057
10.6,0.2004,0.5771,0.3849,0.4396,0.4251,0.4324,0.2349,0.4585,0.3467,0.1244,0.282,0.2032
10.7,0.1963,0.5828,0.3882,0.453,0.4222,0.4376,0.2422,0.4588,0.3505,0.1182,0.2849,0.2016
10.8,0.1886,0.5886,0.3901,0.4667,0.4207,0.4437,0.2517,0.4589,0.3553,0.1133,0.2893,0.2013
10.9,0.1774,0.5945,0.3902,0.4811,0.4209,0.451,0.2631,0.4586,0.3608,0.1103,0.2953,0.2028
11,0.163,0.6005,0.3873,0.4967,0.4229,0.4598,0.2761,0.4578,0.3669,0.1093,0.3031,0.2062
11.1,0.1451,0.6067,0.3808,0.5139,0.4273,0.4706,0.2904,0.4563,0.3733,0.1101,0.312,0.2111
11.2,0.1232,0.6134,0.3708,0.5326,0.4352,0.4839,0.3059,0.454,0.3799,0.1121,0.3218,0.2169
11.3,0.0958,0.6203,0.3585,0.5527,0.4478,0.5002,0.3223,0.4511,0.3867,0.1147,0.3321,0.2234
11.4,0.0622,0.6273,0.3452,0.5736,0.4661,0.5198,0.3396,0.4485,0.3941,0.1182,0.3432,0.2307
11.5,0.0224,0.6337,0.3321,0.5946,0.4905,0.5426,0.3573,0.447,0.4021,0.1229,0.3552,0.239
11.6,-0.0223,0.6391,0.3193,0.6152,0.5202,0.5677,0.3746,0.4468,0.4107,0.129,0.3677,0.2484
11.7,-0.0705,0.6433,0.3068,0.6348,0.5546,0.5947,0.3906,0.4478,0.4192,0.1364,0.3798,0.2581
11.8,-0.121,0.647,0.2945,0.6536,0.5935,0.6235,0.4045,0.4498,0.4271,0.1448,0.3906,0.2677
11.9,-0.1729,0.6504,0.2828,0.672,0.6365,0.6543,0.4164,0.4527,0.4345,0.1541,0.3996,0.2769
12,-0.2252,0.6538,0.2717,0.6902,0.6829,0.6866,0.4266,0.4568,0.4417,0.164,0.4069,0.2854
12.1,-0.2761,0.6568,0.2611,0.7073,0.7308,0.7191,0.4355,0.462,0.4488,0.1741,0.4125,0.2933
12.2,-0.3238,0.6593,0.2505,0.7223,0.7778,0.75,0.4425,0.468,0.4553,0.1839,0.4163,0.3001
