Time,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC,Samsung Fridge 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.5,0.2955,0.5707,0.6543,0.6638,0.4739,0.5689,0.5788,0.6468,0.6128,0.4005,0.5334,0.4669
12.6,0.2937,0.5908,0.6597,0.6829,0.5059,0.5944,0.5935,0.6633,0.6284,0.4116,0.5276,0.4696
12.7,0.2812,0.6119,0.6655,0.6982,0.543,0.6206,0.6066,0.6817,0.6441,0.4256,0.5209,0.4733
12.8,0.2572,0.6339,0.6725,0.7105,0.5848,0.6476,0.6188,0.702,0.6604,0.4428,0.514,0.4784
12.9,0.2221,0.6566,0.6811,0.7203,0.6298,0.675,0.6309,0.7244,0.6776,0.4628,0.5074,0.4851
13,0.1775,0.6797,0.6917,0.7275,0.6764,0.7019,0.6434,0.7487,0.696,0.4851,0.5015,0.4933
13.1,0.126,0.703,0.7042,0.7323,0.7226,0.7275,0.6566,0.7744,0.7155,0.5087,0.4965,0.5026
13.2,0.0716,0.7262,0.7181,0.7349,0.7668,0.7509,0.6702,0.8009,0.7356,0.5324,0.4926,0.5125
13.3,0.0185,0.7483,0.7327,0.7357,0.8071,0.7714,0.6839,0.8272,0.7555,0.5552,0.4899,0.5226
13.4,-0.0305,0.7686,0.7471,0.7348,0.8417,0.7883,0.6972,0.8523,0.7747,0.5755,0.4883,0.5319
13.5,-0.0747,0.7865,0.7605,0.7325,0.8698,0.8012,0.71,0.8755,0.7928,0.5921,0.4875,0.5398
