Time,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.1,-0.207,0.6446,0.5114,0.6315,0.6684,0.65,0.5175,0.5704,0.5439,0.3855,0.4875,0.4365
10.2,-0.2049,0.6689,0.5365,0.6404,0.69,0.6652,0.5504,0.603,0.5767,0.4034,0.5009,0.4522
10.3,-0.1991,0.6882,0.5619,0.6468,0.7071,0.6769,0.581,0.6344,0.6077,0.4196,0.5125,0.466
10.4,-0.1899,0.7024,0.5849,0.6491,0.7197,0.6844,0.6082,0.6629,0.6356,0.4337,0.5214,0.4776
10.5,-0.1773,0.7112,0.6042,0.6467,0.7283,0.6875,0.6312,0.6875,0.6593,0.446,0.5277,0.4869
10.6,-0.1619,0.7152,0.6197,0.6397,0.7332,0.6864,0.65,0.7077,0.6788,0.4565,0.5316,0.4941
10.7,-0.1446,0.715,0.632,0.6285,0.735,0.6818,0.665,0.7237,0.6943,0.4647,0.5333,0.499
10.8,-0.1268,0.712,0.6417,0.6141,0.7349,0.6745,0.6763,0.7359,0.7061,0.4698,0.5322,0.501
10.9,-0.1098,0.7069,0.6487,0.5974,0.734,0.6657,0.6842,0.7445,0.7144,0.4717,0.5282,0.5
11,-0.0946,0.7004,0.6531,0.5796,0.7327,0.6562,0.6892,0.7497,0.7195,0.4706,0.5219,0.4963
11.1,-0.0813,0.6925,0.6555,0.5619,0.7311,0.6465,0.6923,0.7518,0.7221,0.4678,0.514,0.4909
11.2,-0.07,0.6834,0.6565,0.5453,0.7292,0.6372,0.6944,0.7506,0.7225,0.4647,0.5051,0.4849
11.3,-0.0607,0.6733,0.6567,0.5301,0.7271,0.6286,0.6956,0.7463,0.7209,0.4623,0.4956,0.479
11.4,-0.055,0.6629,0.6564,0.5166,0.7258,0.6212,0.6951,0.7384,0.7167,0.4613,0.4859,0.4736
11.5,-0.0543,0.6523,0.6553,0.505,0.7257,0.6153,0.6914,0.7266,0.709,0.4615,0.4759,0.4687
11.6,-0.0596,0.6411,0.6531,0.4954,0.727,0.6112,0.6837,0.7105,0.6971,0.4625,0.4657,0.4641
11.7,-0.0699,0.6289,0.6496,0.4881,0.7293,0.6087,0.6718,0.6902,0.681,0.4639,0.4552,0.4595
11.8,-0.0841,0.6156,0.6451,0.483,0.7328,0.6079,0.6562,0.6657,0.661,0.4651,0.4441,0.4546
11.9,-0.1017,0.6013,0.6392,0.4801,0.7378,0.609,0.6375,0.6374,0.6374,0.4659,0.4324,0.4491
12,-0.1232,0.586,0.6319,0.4795,0.7443,0.6119,0.6156,0.6058,0.6107,0.466,0.4205,0.4433
12.1,-0.1478,0.5698,0.6232,0.4811,0.752,0.6166,0.5899,0.5714,0.5807,0.4656,0.4095,0.4376
12.2,-0.1733,0.5526,0.6136,0.4846,0.7601,0.6223,0.5603,0.5347,0.5475,0.4649,0.4003,0.4326
12.3,-0.196,0.5341,0.6033,0.4894,0.768,0.6287,0.5269,0.4963,0.5116,0.4639,0.3937,0.4288
12.4,-0.213,0.5146,0.5926,0.495,0.7754,0.6352,0.4908,0.4576,0.4742,0.463,0.3904,0.4267
12.5,-0.223,0.4945,0.581,0.5009,0.7816,0.6413,0.454,0.42,0.437,0.4626,0.3915,0.427
12.6,-0.2261,0.4741,0.5685,0.5066,0.786,0.6463,0.4187,0.3854,0.402,0.4637,0.3978,0.4307
12.7,-0.2228,0.4541,0.5556,0.5115,0.7878,0.6497,0.3874,0.3558,0.3716,0.4672,0.4102,0.4387
12.8,-0.2136,0.4344,0.5437,0.515,0.7867,0.6509,0.3624,0.3337,0.348,0.4738,0.4283,0.4511
12.9,-0.1997,0.4144,0.5337,0.5162,0.7821,0.6491,0.3443,0.3204,0.3324,0.4829,0.4509,0.4669
13,-0.1827,0.3936,0.5255,0.5144,0.7729,0.6437,0.3325,0.3161,0.3243,0.4927,0.4763,0.4845
13.1,-0.164,0.3718,0.5185,0.5098,0.7581,0.6339,0.3258,0.3198,0.3228,0.5014,0.502,0.5017
13.2,-0.1445,0.3486,0.5121,0.5024,0.7367,0.6196,0.3233,0.3298,0.3265,0.5075,0.5265,0.517
13.3,-0.1253,0.3239,0.5069,0.4921,0.7086,0.6003,0.3245,0.3449,0.3347,0.5103,0.5492,0.5297
13.4,-0.1085,0.2986,0.5043,0.4789,0.6747,0.5768,0.3292,0.3642,0.3467,0.5105,0.5702,0.5403
13.5,-0.0965,0.274,0.5053,0.4634,0.6368,0.5501,0.3363,0.3865,0.3614,0.5085,0.5894,0.549
13.6,-0.0925,0.2523,0.5105,0.4469,0.5973,0.5221,0.3445,0.4105,0.3775,0.5047,0.6069,0.5558
13.7,-0.0987,0.2352,0.5203,0.4307,0.5584,0.4945,0.3526,0.4347,0.3936,0.4996,0.6234,0.5615
13.8,-0.1164,0.2238,0.5353,0.4154,0.5221,0.4687,0.3599,0.4583,0.4091,0.4936,0.6396,0.5666
13.9,-0.1464,0.2181,0.556,0.4009,0.4898,0.4454,0.3663,0.4814,0.4239,0.4872,0.656,0.5716
14,-0.1883,0.2175,0.5823,0.3869,0.4625,0.4247,0.3721,0.5044,0.4382,0.4802,0.6717,0.5759
14.1,-0.2402,0.2212,0.6123,0.3734,0.4404,0.4069,0.3771,0.5265,0.4518,0.472,0.6851,0.5786
14.2,-0.2993,0.2284,0.6434,0.3607,0.4233,0.392,0.3808,0.5464,0.4636,0.4626,0.695,0.5788
14.3,-0.3615,0.2383,0.6742,0.3496,0.4109,0.3802,0.3831,0.563,0.4731,0.4527,0.7015,0.5771
14.4,-0.4233,0.2508,0.7044,0.3406,0.4032,0.3719,0.3839,0.5761,0.48,0.444,0.7064,0.5752
14.5,-0.4815,0.2658,0.7346,0.3343,0.4003,0.3673,0.3832,0.5859,0.4846,0.4382,0.7114,0.5748
14.6,-0.5329,0.2829,0.7646,0.3307,0.4025,0.3666,0.3807,0.5926,0.4866,0.436,0.7172,0.5766
14.7,-0.5739,0.3014,0.7931,0.3302,0.4096,0.3699,0.3763,0.596,0.4862,0.4374,0.7233,0.5803
14.8,-0.6013,0.3203,0.8184,0.3329,0.4203,0.3766,0.3696,0.5962,0.4829,0.4417,0.7293,0.5855
14.9,-0.6126,0.339,0.8392,0.3389,0.4328,0.3859,0.3607,0.5934,0.4771,0.4481,0.7352,0.5916
