Time,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC,ING - Do Your Thing Linda 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
15.3,-0.0551,0.2042,0.3216,0.1708,0.3565,0.2636,0.1817,0.2752,0.2285,0.3173,0.3667,0.342
15.4,-0.0687,0.1911,0.3135,0.164,0.3356,0.2498,0.1737,0.2728,0.2233,0.3203,0.3665,0.3434
15.5,-0.0836,0.1819,0.3112,0.1624,0.3173,0.2399,0.1695,0.2736,0.2215,0.3252,0.3679,0.3466
15.6,-0.099,0.1768,0.3141,0.1664,0.3021,0.2343,0.1693,0.2773,0.2233,0.332,0.3705,0.3513
15.7,-0.1136,0.1759,0.3215,0.176,0.29,0.233,0.1725,0.2837,0.2281,0.3402,0.374,0.3571
15.8,-0.1258,0.1796,0.3325,0.1906,0.2812,0.2359,0.1784,0.2926,0.2355,0.3493,0.3778,0.3636
15.9,-0.1338,0.1883,0.3458,0.2093,0.2756,0.2425,0.1865,0.3036,0.2451,0.3587,0.382,0.3703
16,-0.1368,0.2017,0.3606,0.2314,0.2735,0.2524,0.1963,0.3166,0.2565,0.3681,0.3862,0.3771
16.1,-0.1357,0.2191,0.3766,0.2564,0.2745,0.2654,0.2079,0.3313,0.2696,0.3777,0.3903,0.384
16.2,-0.1319,0.2398,0.3935,0.2838,0.2786,0.2812,0.2211,0.3475,0.2843,0.3872,0.3943,0.3908
16.3,-0.1261,0.2633,0.4106,0.3131,0.2851,0.2991,0.2353,0.3646,0.3,0.3965,0.3977,0.3971
16.4,-0.1181,0.2889,0.4272,0.3433,0.2933,0.3183,0.2496,0.3819,0.3157,0.4053,0.4003,0.4028
16.5,-0.1078,0.3158,0.4421,0.3735,0.3024,0.3379,0.2631,0.398,0.3306,0.4132,0.4018,0.4075
16.6,-0.0961,0.3426,0.4543,0.4028,0.3117,0.3573,0.2749,0.4118,0.3433,0.4199,0.4021,0.411
16.7,-0.0844,0.3685,0.4635,0.4308,0.3207,0.3758,0.2846,0.4221,0.3534,0.4254,0.4013,0.4134
16.8,-0.0737,0.3933,0.4692,0.4569,0.3297,0.3933,0.2919,0.429,0.3604,0.4296,0.3995,0.4146
16.9,-0.0639,0.417,0.4716,0.4809,0.3386,0.4097,0.2968,0.4325,0.3647,0.4326,0.397,0.4148
17,-0.0551,0.4391,0.4706,0.5027,0.3473,0.425,0.2992,0.4331,0.3662,0.4349,0.3941,0.4145
17.1,-0.0473,0.4591,0.4665,0.5221,0.3555,0.4388,0.2992,0.431,0.3651,0.4368,0.3914,0.4141
17.2,-0.0412,0.4764,0.46,0.539,0.363,0.451,0.2973,0.4261,0.3617,0.4392,0.3895,0.4144
17.3,-0.0371,0.4908,0.4516,0.5529,0.3696,0.4612,0.2944,0.4187,0.3565,0.4424,0.389,0.4157
17.4,-0.0349,0.5022,0.4418,0.5636,0.3755,0.4696,0.2909,0.4091,0.35,0.447,0.3903,0.4187
17.5,-0.0337,0.5111,0.4315,0.5715,0.3814,0.4764,0.2874,0.3979,0.3426,0.4535,0.3937,0.4236
17.6,-0.0323,0.5177,0.4215,0.577,0.3875,0.4822,0.2841,0.3855,0.3348,0.4622,0.3992,0.4307
17.7,-0.0295,0.5223,0.4128,0.5805,0.3936,0.487,0.2818,0.3722,0.327,0.4726,0.4067,0.4397
17.8,-0.024,0.5249,0.4063,0.5821,0.3993,0.4907,0.2813,0.3584,0.3199,0.484,0.4158,0.4499
17.9,-0.0152,0.5255,0.4024,0.5818,0.4043,0.493,0.2838,0.3448,0.3143,0.4958,0.426,0.4609
18,-0.0026,0.5246,0.4018,0.5798,0.4085,0.4941,0.2902,0.3319,0.3111,0.5075,0.4372,0.4724
18.1,0.0134,0.523,0.4042,0.5766,0.4122,0.4944,0.3009,0.3205,0.3107,0.5195,0.4493,0.4844
18.2,0.0318,0.5214,0.4093,0.5728,0.416,0.4944,0.3159,0.3108,0.3133,0.5321,0.462,0.4971
18.3,0.0511,0.5206,0.4159,0.5683,0.4203,0.4943,0.3346,0.3027,0.3186,0.5449,0.4748,0.5098
18.4,0.0705,0.5209,0.4231,0.5631,0.4253,0.4942,0.3561,0.296,0.3261,0.5572,0.4871,0.5221
18.5,0.0898,0.5221,0.4299,0.5571,0.4307,0.4939,0.379,0.2906,0.3348,0.5684,0.4983,0.5333
18.6,0.1102,0.5239,0.4355,0.5504,0.436,0.4932,0.4019,0.2859,0.3439,0.5781,0.5084,0.5433
18.7,0.1328,0.5257,0.4396,0.5437,0.4406,0.4922,0.4234,0.2819,0.3527,0.5867,0.5174,0.552
18.8,0.1581,0.5268,0.442,0.537,0.4444,0.4907,0.4427,0.2785,0.3606,0.594,0.5253,0.5596
18.9,0.1846,0.526,0.4424,0.5298,0.447,0.4884,0.4591,0.2757,0.3674,0.5994,0.5321,0.5658
19,0.2096,0.5228,0.4407,0.5218,0.448,0.4849,0.4722,0.2733,0.3728,0.6025,0.5379,0.5702
19.1,0.2308,0.5175,0.4369,0.5134,0.4473,0.4803,0.4812,0.2712,0.3762,0.6029,0.543,0.573
