Time,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.1,-0.0306,0.4558,0.2442,0.3441,0.4005,0.3723,0.4788,0.3386,0.4087,0.111,0.4205,0.2658
12.2,0.0356,0.443,0.2392,0.3539,0.3844,0.3692,0.471,0.3249,0.3979,0.0881,0.375,0.2315
12.3,0.0907,0.4322,0.2358,0.3636,0.3689,0.3662,0.4582,0.3149,0.3866,0.0652,0.3258,0.1955
12.4,0.1332,0.4254,0.2352,0.3734,0.3557,0.3646,0.4424,0.3107,0.3766,0.0421,0.2744,0.1583
12.5,0.1633,0.4238,0.2385,0.3846,0.3466,0.3656,0.4262,0.3135,0.3698,0.0197,0.2233,0.1215
12.6,0.1821,0.4274,0.2461,0.3977,0.3423,0.37,0.4111,0.3229,0.367,-0.001,0.1752,0.0871
12.7,0.191,0.4352,0.2578,0.4131,0.3428,0.3779,0.398,0.3378,0.3679,-0.0193,0.1316,0.0562
12.8,0.1909,0.4461,0.2731,0.43,0.3472,0.3886,0.3866,0.3565,0.3716,-0.0351,0.0933,0.0291
12.9,0.1824,0.4593,0.2914,0.4477,0.355,0.4014,0.3772,0.3777,0.3774,-0.0491,0.0608,0.0058
13,0.1664,0.4742,0.3121,0.4654,0.3654,0.4154,0.37,0.3993,0.3847,-0.0614,0.0349,-0.0133
13.1,0.1447,0.4897,0.3342,0.4826,0.3776,0.4301,0.3648,0.4191,0.392,-0.0715,0.0163,-0.0276
13.2,0.1197,0.505,0.3567,0.4992,0.3906,0.4449,0.3609,0.4355,0.3982,-0.0784,0.005,-0.0367
13.3,0.0935,0.5195,0.3786,0.5155,0.4037,0.4596,0.3573,0.4483,0.4028,-0.0815,0.0001,-0.0407
13.4,0.0672,0.5327,0.3996,0.5319,0.4166,0.4743,0.3539,0.458,0.4059,-0.08,0.0011,-0.0395
13.5,0.0411,0.5449,0.4195,0.5485,0.4293,0.4889,0.3505,0.4649,0.4077,-0.073,0.0075,-0.0327
13.6,0.0148,0.5559,0.4388,0.5657,0.4415,0.5036,0.3472,0.4687,0.408,-0.0601,0.0189,-0.0206
13.7,-0.0117,0.5655,0.458,0.5835,0.453,0.5182,0.3442,0.4691,0.4066,-0.0414,0.034,-0.0037
13.8,-0.0381,0.5732,0.4773,0.6017,0.4634,0.5325,0.3412,0.4665,0.4039,-0.0172,0.0514,0.0171
13.9,-0.0642,0.5788,0.4964,0.6199,0.4722,0.546,0.338,0.462,0.4,0.0121,0.0695,0.0408
14,-0.0893,0.5824,0.5143,0.6376,0.4793,0.5584,0.3346,0.456,0.3953,0.0462,0.0872,0.0667
14.1,-0.1135,0.5844,0.5297,0.6544,0.4839,0.5691,0.3314,0.4484,0.3899,0.0858,0.1038,0.0948
14.2,-0.138,0.5855,0.5413,0.6693,0.4856,0.5774,0.3289,0.4388,0.3838,0.1304,0.1185,0.1244
14.3,-0.1646,0.587,0.5487,0.6819,0.4848,0.5833,0.3281,0.4273,0.3777,0.1791,0.1309,0.155
14.4,-0.1949,0.5903,0.5518,0.6921,0.4826,0.5874,0.3297,0.4147,0.3722,0.2315,0.1408,0.1861
14.5,-0.2287,0.5965,0.5506,0.7003,0.4805,0.5904,0.3338,0.4016,0.3677,0.2875,0.1487,0.2181
14.6,-0.2645,0.6062,0.5452,0.7073,0.4793,0.5933,0.3404,0.3883,0.3644,0.3485,0.1563,0.2524
14.7,-0.3015,0.6199,0.5357,0.7137,0.4791,0.5964,0.3495,0.3748,0.3622,0.415,0.1654,0.2902
14.8,-0.3403,0.6384,0.5221,0.7193,0.4792,0.5993,0.3609,0.3611,0.361,0.4852,0.1768,0.331
14.9,-0.3817,0.6622,0.5044,0.7232,0.4787,0.6009,0.3741,0.3472,0.3606,0.5555,0.1904,0.3729
