Time,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.1,0.0274,0.5498,0.7056,0.736,0.9145,0.8253,0.5169,0.6044,0.5607,0.5054,0.5847,0.5451
11.2,0.0096,0.5592,0.6981,0.7209,0.9289,0.8249,0.5148,0.6039,0.5593,0.4954,0.5702,0.5328
11.3,-0.0047,0.5684,0.6877,0.7064,0.9392,0.8228,0.5128,0.6026,0.5577,0.4866,0.5538,0.5202
11.4,-0.0152,0.577,0.6743,0.6926,0.9453,0.819,0.5106,0.6002,0.5554,0.4791,0.5356,0.5074
11.5,-0.0223,0.5847,0.6584,0.6793,0.947,0.8131,0.5084,0.5964,0.5524,0.4725,0.5157,0.4941
11.6,-0.0267,0.5907,0.6413,0.6663,0.9443,0.8053,0.5064,0.591,0.5487,0.4665,0.4944,0.4805
11.7,-0.0284,0.5945,0.6244,0.6542,0.9374,0.7958,0.5052,0.5843,0.5448,0.4608,0.4718,0.4663
11.8,-0.0275,0.5962,0.6086,0.6435,0.9272,0.7854,0.5047,0.5768,0.5407,0.4551,0.4481,0.4516
11.9,-0.0249,0.5959,0.5942,0.6345,0.9149,0.7747,0.5042,0.5689,0.5365,0.4489,0.4229,0.4359
12,-0.0215,0.5937,0.5817,0.6267,0.9008,0.7638,0.503,0.5611,0.532,0.4416,0.3964,0.419
12.1,-0.0177,0.5895,0.5716,0.6199,0.8851,0.7525,0.501,0.5539,0.5274,0.4327,0.3695,0.4011
12.2,-0.0127,0.5836,0.5641,0.6139,0.868,0.7409,0.4987,0.548,0.5234,0.4226,0.3439,0.3833
12.3,-0.0058,0.5763,0.5591,0.6085,0.8503,0.7294,0.4969,0.544,0.5205,0.4118,0.3213,0.3665
12.4,0.0023,0.5684,0.5559,0.6035,0.8334,0.7185,0.4957,0.5421,0.5189,0.4006,0.3028,0.3517
12.5,0.0101,0.5606,0.5535,0.5984,0.8182,0.7083,0.495,0.542,0.5185,0.3889,0.2887,0.3388
12.6,0.0163,0.5532,0.5512,0.5927,0.8047,0.6987,0.4949,0.5437,0.5193,0.3761,0.2791,0.3276
12.7,0.0196,0.5463,0.5489,0.5862,0.7929,0.6895,0.4951,0.5473,0.5212,0.3624,0.2736,0.318
12.8,0.0187,0.54,0.5466,0.5787,0.7826,0.6807,0.495,0.5525,0.5237,0.3477,0.2716,0.3096
12.9,0.0122,0.5345,0.5441,0.5701,0.7742,0.6722,0.4939,0.5587,0.5263,0.3322,0.2724,0.3023
13,-0.0008,0.5298,0.5409,0.5601,0.768,0.6641,0.4911,0.5654,0.5282,0.3164,0.275,0.2957
13.1,-0.0194,0.526,0.5368,0.5485,0.764,0.6563,0.4866,0.5724,0.5295,0.3005,0.2782,0.2894
13.2,-0.042,0.5232,0.5322,0.5356,0.7621,0.6488,0.4812,0.5795,0.5304,0.2847,0.2812,0.2829
13.3,-0.0669,0.5216,0.5275,0.5217,0.7619,0.6418,0.4755,0.5868,0.5312,0.2694,0.2836,0.2765
13.4,-0.0925,0.5212,0.523,0.5069,0.7634,0.6352,0.4697,0.5939,0.5318,0.2557,0.2859,0.2708
13.5,-0.1174,0.5216,0.5189,0.4916,0.7663,0.629,0.4642,0.6001,0.5322,0.2447,0.2887,0.2667
13.6,-0.1402,0.5225,0.5148,0.4761,0.7704,0.6233,0.459,0.6051,0.5321,0.2371,0.2923,0.2647
13.7,-0.1598,0.5234,0.5102,0.4606,0.7754,0.618,0.4539,0.6086,0.5312,0.2331,0.2962,0.2646
13.8,-0.1759,0.5239,0.5047,0.445,0.7803,0.6127,0.4489,0.6106,0.5297,0.2333,0.3001,0.2667
13.9,-0.1885,0.5236,0.4985,0.4296,0.784,0.6068,0.4441,0.6107,0.5274,0.2382,0.3042,0.2712
14,-0.1972,0.5218,0.4917,0.4141,0.7856,0.5999,0.4395,0.6085,0.524,0.2477,0.3082,0.278
14.1,-0.2003,0.5185,0.4845,0.399,0.7839,0.5915,0.435,0.6038,0.5194,0.2603,0.3116,0.286
14.2,-0.1954,0.5139,0.4777,0.3849,0.7784,0.5817,0.4304,0.5968,0.5136,0.2737,0.3129,0.2933
14.3,-0.1801,0.509,0.4719,0.3725,0.7688,0.5706,0.4265,0.5882,0.5074,0.2856,0.3111,0.2984
14.4,-0.1533,0.5046,0.468,0.3621,0.7548,0.5584,0.4244,0.5787,0.5016,0.2954,0.3057,0.3005
14.5,-0.1157,0.5015,0.4662,0.3543,0.7368,0.5456,0.4254,0.5691,0.4973,0.3029,0.2973,0.3001
14.6,-0.0679,0.5004,0.4666,0.3504,0.7156,0.533,0.4305,0.5599,0.4952,0.3083,0.287,0.2977
14.7,-0.0112,0.5032,0.4689,0.3517,0.6921,0.5219,0.4397,0.5512,0.4955,0.3117,0.2755,0.2936
14.8,0.0526,0.5113,0.4724,0.3592,0.6673,0.5133,0.4526,0.5426,0.4976,0.3131,0.2631,0.2881
14.9,0.1218,0.5255,0.4766,0.3731,0.6415,0.5073,0.4681,0.534,0.5011,0.3125,0.2502,0.2814
15,0.1939,0.5457,0.4811,0.3927,0.6148,0.5037,0.4851,0.5253,0.5052,0.3102,0.2373,0.2738
15.1,0.2652,0.5715,0.4854,0.4165,0.5885,0.5025,0.5022,0.5163,0.5092,0.3063,0.2243,0.2653
15.2,0.3308,0.6023,0.4892,0.4433,0.5648,0.504,0.5181,0.5073,0.5127,0.3006,0.211,0.2558
15.3,0.3858,0.6377,0.4924,0.4716,0.5447,0.5082,0.5322,0.4984,0.5153,0.2931,0.1978,0.2454
15.4,0.4268,0.6755,0.4952,0.4996,0.5282,0.5139,0.5438,0.4895,0.5167,0.2843,0.1857,0.235
15.5,0.4527,0.7116,0.4975,0.5249,0.5141,0.5195,0.5526,0.4803,0.5165,0.2749,0.1759,0.2254
15.6,0.4641,0.7418,0.4992,0.545,0.5021,0.5235,0.5584,0.4708,0.5146,0.2654,0.169,0.2172
15.7,0.4624,0.7633,0.501,0.5578,0.4925,0.5251,0.5605,0.4615,0.511,0.256,0.1644,0.2102
15.8,0.4501,0.775,0.5028,0.5617,0.4864,0.524,0.5585,0.4524,0.5055,0.2466,0.161,0.2038
15.9,0.4317,0.7765,0.5047,0.5568,0.4837,0.5203,0.5524,0.4436,0.498,0.2368,0.1581,0.1974
16,0.4115,0.7679,0.5065,0.5443,0.4841,0.5142,0.5423,0.4354,0.4889,0.2265,0.1552,0.1909
16.1,0.3907,0.7505,0.508,0.5259,0.4877,0.5068,0.529,0.4281,0.4786,0.2158,0.1528,0.1843
16.2,0.3676,0.7271,0.5093,0.504,0.4948,0.4994,0.5138,0.4219,0.4679,0.2053,0.1509,0.1781
16.3,0.3403,0.7007,0.5103,0.4803,0.5061,0.4932,0.4983,0.4174,0.4578,0.1958,0.15,0.1729
16.4,0.3095,0.6732,0.5112,0.4561,0.5216,0.4888,0.4835,0.4147,0.4491,0.1876,0.1507,0.1692
16.5,0.278,0.6457,0.512,0.4318,0.54,0.4859,0.4698,0.4137,0.4417,0.181,0.1534,0.1672
16.6,0.2479,0.6191,0.5132,0.4082,0.5601,0.4841,0.4574,0.4142,0.4358,0.1763,0.1585,0.1674
16.7,0.2201,0.5948,0.5156,0.3857,0.5805,0.4831,0.4464,0.4164,0.4314,0.1739,0.1666,0.1702
16.8,0.1949,0.5734,0.5196,0.365,0.6009,0.483,0.4371,0.4205,0.4288,0.1741,0.1778,0.1759
16.9,0.1731,0.5552,0.5255,0.3462,0.6213,0.4838,0.4297,0.4267,0.4282,0.1764,0.1914,0.1839
17,0.1544,0.54,0.5333,0.3296,0.6415,0.4856,0.4238,0.4346,0.4292,0.1796,0.2059,0.1927
17.1,0.1378,0.5278,0.543,0.3156,0.6617,0.4887,0.4192,0.4445,0.4318,0.1825,0.2196,0.201
17.2,0.1221,0.5192,0.5548,0.3049,0.6818,0.4934,0.4161,0.4562,0.4362,0.1848,0.2317,0.2082
17.3,0.1072,0.5146,0.569,0.2985,0.7021,0.5003,0.4154,0.4704,0.4429,0.1867,0.242,0.2143
