Time,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC,Woolworths - Helping you get your woolies worth 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.6,-0.4202,0.6728,0.3376,0.476,0.8778,0.6769,0.3718,0.3384,0.3551,0.2831,0.2124,0.2478
12.7,-0.4177,0.6777,0.3322,0.4818,0.855,0.6684,0.382,0.3276,0.3548,0.2912,0.2228,0.257
12.8,-0.4073,0.6816,0.3273,0.4886,0.827,0.6578,0.393,0.3186,0.3558,0.2969,0.2315,0.2642
12.9,-0.3908,0.6849,0.3231,0.4964,0.7943,0.6454,0.4038,0.3114,0.3576,0.3001,0.2386,0.2693
13,-0.3706,0.6875,0.32,0.5051,0.7575,0.6313,0.4134,0.3061,0.3597,0.3007,0.2437,0.2722
13.1,-0.3489,0.6892,0.3179,0.5145,0.717,0.6157,0.422,0.3031,0.3626,0.2991,0.2471,0.2731
13.2,-0.3264,0.6904,0.3175,0.5242,0.6742,0.5992,0.4308,0.3031,0.367,0.2959,0.2489,0.2724
13.3,-0.3037,0.6915,0.3194,0.5343,0.631,0.5826,0.4413,0.3066,0.3739,0.292,0.2496,0.2708
13.4,-0.2818,0.6934,0.324,0.5452,0.5898,0.5675,0.4542,0.3137,0.384,0.2878,0.2498,0.2688
13.5,-0.2608,0.6961,0.3309,0.5581,0.5524,0.5553,0.4698,0.3243,0.397,0.2833,0.2498,0.2666
13.6,-0.2404,0.6993,0.3395,0.5737,0.5203,0.547,0.4874,0.3377,0.4125,0.2785,0.2495,0.264
13.7,-0.2207,0.7025,0.3493,0.5916,0.4948,0.5432,0.506,0.3535,0.4297,0.273,0.2486,0.2608
13.8,-0.2018,0.7052,0.3599,0.6108,0.4765,0.5436,0.5244,0.3709,0.4476,0.2666,0.247,0.2568
13.9,-0.1836,0.7069,0.3708,0.6302,0.4653,0.5478,0.5414,0.3885,0.465,0.2587,0.2447,0.2517
14,-0.166,0.7078,0.3815,0.6492,0.4611,0.5552,0.5558,0.4052,0.4805,0.2493,0.2419,0.2456
14.1,-0.1484,0.7084,0.3913,0.6679,0.4638,0.5658,0.5669,0.4201,0.4935,0.2388,0.2391,0.239
14.2,-0.1306,0.7092,0.4,0.6863,0.4728,0.5795,0.5748,0.4331,0.504,0.2279,0.2372,0.2325
14.3,-0.1131,0.7101,0.4076,0.7044,0.4868,0.5956,0.5795,0.4443,0.5119,0.2167,0.2371,0.2269
14.4,-0.0981,0.711,0.4144,0.7219,0.5043,0.6131,0.5803,0.4529,0.5166,0.2053,0.2395,0.2224
