Time,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.7,-0.0784,0.6111,0.5833,0.7223,0.8035,0.7629,0.5488,0.6325,0.5906,0.6425,0.484,0.5632
12.8,-0.0554,0.6129,0.5805,0.7103,0.8043,0.7573,0.5444,0.6264,0.5854,0.6249,0.4682,0.5465
12.9,-0.036,0.6163,0.5807,0.6987,0.809,0.7539,0.5422,0.6202,0.5812,0.6055,0.4521,0.5288
13,-0.0211,0.6205,0.5841,0.6871,0.817,0.7521,0.5421,0.6132,0.5777,0.5855,0.4365,0.511
13.1,-0.0119,0.6244,0.5903,0.6748,0.827,0.7509,0.5435,0.6051,0.5743,0.5652,0.4222,0.4937
13.2,-0.0095,0.6274,0.5982,0.6612,0.838,0.7496,0.5463,0.5964,0.5714,0.5449,0.41,0.4775
13.3,-0.0141,0.6293,0.6062,0.6466,0.8496,0.7481,0.5505,0.5878,0.5691,0.5251,0.4006,0.4629
13.4,-0.0249,0.6306,0.6132,0.6324,0.8618,0.7471,0.5561,0.58,0.568,0.5065,0.394,0.4502
13.5,-0.041,0.6316,0.6192,0.6206,0.8753,0.7479,0.5635,0.574,0.5688,0.4895,0.3898,0.4396
13.6,-0.0621,0.6328,0.6243,0.6124,0.8902,0.7513,0.5729,0.5704,0.5717,0.4747,0.3877,0.4312
13.7,-0.0883,0.6345,0.6289,0.6084,0.9063,0.7574,0.584,0.5694,0.5767,0.4626,0.3877,0.4251
13.8,-0.1197,0.637,0.6327,0.6084,0.9231,0.7657,0.5961,0.5704,0.5833,0.4536,0.3898,0.4217
