Time,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.4,0.0812,0.7782,0.8635,0.7838,0.928,0.8559,0.6254,0.5962,0.6108,0.771,0.8791,0.8251
13.5,0.1145,0.772,0.8549,0.7692,0.9168,0.843,0.6124,0.5792,0.5958,0.7402,0.8548,0.7975
13.6,0.1439,0.769,0.8465,0.7558,0.9024,0.8291,0.5986,0.5623,0.5804,0.7052,0.8286,0.7669
13.7,0.1683,0.7683,0.8377,0.7425,0.8834,0.8129,0.5837,0.5446,0.5641,0.6661,0.7995,0.7328
13.8,0.1863,0.7692,0.8291,0.7283,0.8602,0.7942,0.5676,0.5257,0.5466,0.623,0.7673,0.6951
13.9,0.1957,0.7727,0.8211,0.7134,0.8347,0.774,0.5507,0.5062,0.5284,0.5765,0.732,0.6543
14,0.1947,0.7797,0.814,0.698,0.8093,0.7537,0.5338,0.4864,0.5101,0.5275,0.6944,0.6109
14.1,0.1828,0.791,0.807,0.6824,0.7848,0.7336,0.5177,0.4667,0.4922,0.4765,0.6545,0.5655
14.2,0.1611,0.8061,0.7988,0.6658,0.7602,0.713,0.5022,0.4473,0.4747,0.424,0.6122,0.5181
14.3,0.1314,0.8241,0.7893,0.6473,0.7341,0.6907,0.4865,0.4281,0.4573,0.371,0.5681,0.4695
14.4,0.0951,0.8442,0.7787,0.6257,0.7056,0.6656,0.4695,0.4094,0.4395,0.3195,0.5235,0.4215
14.5,0.0533,0.8658,0.7676,0.6003,0.6742,0.6373,0.4503,0.3916,0.4209,0.272,0.4807,0.3763
14.6,0.0071,0.8884,0.7554,0.5704,0.6395,0.605,0.4285,0.3743,0.4014,0.2315,0.4416,0.3365
14.7,-0.0431,0.9108,0.7413,0.5356,0.6011,0.5683,0.4041,0.3571,0.3806,0.1996,0.4077,0.3037
14.8,-0.0976,0.9317,0.7249,0.4964,0.5598,0.5281,0.3769,0.34,0.3585,0.1765,0.3799,0.2782
14.9,-0.1562,0.9501,0.707,0.4548,0.5181,0.4864,0.3471,0.3239,0.3355,0.1614,0.3584,0.2599
