Time,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.7,0.0211,0.609,0.5356,0.5881,0.5934,0.5907,0.4521,0.5423,0.4972,0.2847,0.4862,0.3854
11.8,0.0315,0.6088,0.5272,0.585,0.5841,0.5845,0.4573,0.5332,0.4953,0.2878,0.4841,0.386
11.9,0.0423,0.6073,0.5207,0.5831,0.5754,0.5793,0.4645,0.5257,0.4951,0.2937,0.4828,0.3883
12,0.0541,0.605,0.5161,0.5825,0.5677,0.5751,0.473,0.5203,0.4967,0.3023,0.4822,0.3923
12.1,0.0678,0.6023,0.5131,0.5833,0.5607,0.572,0.4822,0.5169,0.4996,0.3135,0.4821,0.3978
12.2,0.0842,0.5994,0.5112,0.5853,0.5541,0.5697,0.4914,0.5151,0.5032,0.3272,0.4825,0.4048
12.3,0.1039,0.5965,0.5104,0.5887,0.5476,0.5681,0.5001,0.5139,0.507,0.3432,0.4831,0.4132
12.4,0.1271,0.5936,0.51,0.5933,0.5409,0.5671,0.5079,0.5124,0.5101,0.3612,0.4838,0.4225
12.5,0.1534,0.5905,0.5099,0.5986,0.5336,0.5661,0.5148,0.5102,0.5125,0.3807,0.4845,0.4326
12.6,0.1818,0.5869,0.5097,0.6035,0.5256,0.5645,0.5212,0.5073,0.5143,0.401,0.4856,0.4433
12.7,0.2115,0.5821,0.5089,0.6069,0.5171,0.562,0.5271,0.5039,0.5155,0.4212,0.4869,0.4541
12.8,0.2415,0.5757,0.5069,0.608,0.5086,0.5583,0.5319,0.4998,0.5158,0.4397,0.488,0.4639
12.9,0.2706,0.568,0.5034,0.6062,0.5003,0.5532,0.5345,0.4946,0.5145,0.4553,0.488,0.4717
13,0.2977,0.5587,0.4984,0.6001,0.4922,0.5461,0.5339,0.4882,0.5111,0.4678,0.4866,0.4772
13.1,0.3212,0.5473,0.4919,0.5884,0.484,0.5362,0.5305,0.4807,0.5056,0.4776,0.4843,0.4809
13.2,0.3394,0.5334,0.4841,0.571,0.4757,0.5233,0.5252,0.4718,0.4985,0.4856,0.4816,0.4836
13.3,0.3501,0.5167,0.4746,0.549,0.4678,0.5084,0.5185,0.4613,0.4899,0.4922,0.479,0.4856
13.4,0.351,0.4978,0.4636,0.5241,0.4614,0.4927,0.5111,0.4491,0.4801,0.4975,0.4767,0.4871
13.5,0.34,0.4771,0.4511,0.4977,0.4569,0.4773,0.5029,0.4355,0.4692,0.5017,0.4743,0.488
13.6,0.3163,0.4551,0.4374,0.4704,0.454,0.4622,0.4938,0.4209,0.4574,0.505,0.4719,0.4885
13.7,0.2811,0.4321,0.4229,0.4427,0.4524,0.4476,0.4839,0.4059,0.4449,0.5076,0.4697,0.4886
13.8,0.2368,0.4093,0.4081,0.4156,0.4524,0.434,0.4736,0.3909,0.4322,0.5096,0.4682,0.4889
13.9,0.1857,0.3879,0.3934,0.3908,0.4547,0.4228,0.4635,0.376,0.4197,0.5111,0.468,0.4895
14,0.1302,0.3698,0.3792,0.3701,0.4599,0.415,0.4538,0.3616,0.4077,0.5126,0.469,0.4908
14.1,0.0722,0.3561,0.3661,0.3544,0.468,0.4112,0.4449,0.3485,0.3967,0.5143,0.4713,0.4928
14.2,0.0132,0.3476,0.3546,0.3436,0.4783,0.411,0.4371,0.3375,0.3873,0.5167,0.4751,0.4959
14.3,-0.0446,0.3447,0.3452,0.3374,0.49,0.4137,0.4309,0.3289,0.3799,0.5198,0.4801,0.4999
14.4,-0.0991,0.347,0.3378,0.3349,0.5018,0.4183,0.4265,0.3227,0.3746,0.5233,0.4857,0.5045
14.5,-0.1477,0.3528,0.3318,0.3351,0.5122,0.4237,0.4235,0.3183,0.3709,0.527,0.4911,0.509
14.6,-0.1888,0.3609,0.3271,0.3371,0.5201,0.4286,0.4214,0.3152,0.3683,0.5306,0.4955,0.513
14.7,-0.2219,0.3705,0.3234,0.3407,0.5247,0.4327,0.4198,0.3135,0.3667,0.5341,0.4982,0.5161
14.8,-0.2465,0.3814,0.3212,0.3462,0.526,0.4361,0.4189,0.3138,0.3664,0.5373,0.499,0.5182
14.9,-0.2624,0.3934,0.3208,0.3535,0.524,0.4388,0.4194,0.3166,0.368,0.5403,0.4978,0.5191
