Time,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.5,-0.1036,0.6336,0.6517,0.5155,0.7058,0.6106,0.6903,0.6506,0.6705,0.7316,0.6618,0.6967
11.6,-0.1264,0.619,0.6424,0.5088,0.6916,0.6002,0.6839,0.6405,0.6622,0.7205,0.648,0.6842
11.7,-0.1502,0.6053,0.6338,0.504,0.6777,0.5909,0.6764,0.6303,0.6534,0.7075,0.6348,0.6712
11.8,-0.1738,0.5927,0.6256,0.5014,0.6643,0.5829,0.6682,0.62,0.6441,0.6929,0.6222,0.6575
11.9,-0.1963,0.5815,0.6177,0.501,0.6513,0.5762,0.6595,0.6097,0.6346,0.6767,0.6102,0.6435
12,-0.2172,0.5719,0.6103,0.5028,0.6392,0.571,0.6506,0.5995,0.625,0.6594,0.5989,0.6291
12.1,-0.237,0.5644,0.6035,0.5071,0.6286,0.5678,0.6417,0.5898,0.6157,0.6413,0.5882,0.6148
12.2,-0.2558,0.5598,0.5977,0.5141,0.62,0.567,0.6335,0.5812,0.6073,0.6229,0.5784,0.6007
12.3,-0.2734,0.5582,0.593,0.5237,0.6141,0.5689,0.6268,0.5742,0.6005,0.6052,0.5697,0.5874
12.4,-0.2891,0.5599,0.5899,0.5355,0.6114,0.5735,0.6223,0.5695,0.5959,0.589,0.5625,0.5758
12.5,-0.3018,0.5648,0.5891,0.5491,0.6123,0.5807,0.6204,0.5674,0.5939,0.5756,0.5574,0.5665
12.6,-0.3104,0.5726,0.591,0.5638,0.6164,0.5901,0.6214,0.5679,0.5947,0.5658,0.5546,0.5602
12.7,-0.3144,0.5828,0.5952,0.5789,0.6235,0.6012,0.6255,0.5711,0.5983,0.5598,0.5544,0.5571
12.8,-0.3135,0.595,0.6011,0.5937,0.6328,0.6133,0.6329,0.5766,0.6047,0.5577,0.5566,0.5571
12.9,-0.3073,0.6086,0.6079,0.6074,0.644,0.6257,0.6432,0.5841,0.6136,0.5587,0.5607,0.5597
13,-0.2959,0.6229,0.6153,0.6192,0.6564,0.6378,0.6558,0.5931,0.6244,0.5622,0.5662,0.5642
13.1,-0.2795,0.6372,0.6229,0.6287,0.669,0.6488,0.6696,0.6031,0.6364,0.5676,0.573,0.5703
13.2,-0.2591,0.6507,0.6309,0.6357,0.6812,0.6584,0.6836,0.6136,0.6486,0.5747,0.5807,0.5777
13.3,-0.2353,0.6633,0.639,0.6409,0.6925,0.6667,0.6969,0.6243,0.6606,0.5835,0.5893,0.5864
13.4,-0.2093,0.6753,0.6472,0.6449,0.7031,0.674,0.7091,0.6349,0.672,0.5937,0.5984,0.596
13.5,-0.1821,0.6871,0.655,0.6483,0.7135,0.6809,0.7201,0.6454,0.6828,0.6051,0.6077,0.6064
13.6,-0.1547,0.699,0.6621,0.6515,0.724,0.6878,0.7295,0.6559,0.6927,0.6177,0.6172,0.6175
13.7,-0.128,0.7107,0.668,0.6546,0.7345,0.6945,0.7368,0.6662,0.7015,0.6313,0.6265,0.6289
13.8,-0.1032,0.7211,0.6723,0.6569,0.7441,0.7005,0.7412,0.6756,0.7084,0.6456,0.6354,0.6405
13.9,-0.0814,0.7292,0.6742,0.6581,0.7519,0.705,0.7424,0.6831,0.7127,0.6602,0.6432,0.6517
14,-0.0633,0.7344,0.6739,0.658,0.7577,0.7078,0.7399,0.6883,0.7141,0.6747,0.6496,0.6621
14.1,-0.0492,0.7368,0.6713,0.657,0.7612,0.7091,0.7343,0.6913,0.7128,0.6888,0.6543,0.6716
14.2,-0.0386,0.7366,0.6665,0.6554,0.7625,0.7089,0.7258,0.6923,0.7091,0.7026,0.6574,0.68
14.3,-0.0314,0.7338,0.6588,0.6529,0.7614,0.7072,0.7152,0.691,0.7031,0.716,0.6586,0.6873
14.4,-0.0274,0.7283,0.6478,0.6492,0.7576,0.7034,0.7029,0.6872,0.6951,0.7292,0.6579,0.6936
14.5,-0.0266,0.7199,0.6332,0.6437,0.7509,0.6973,0.6894,0.6806,0.685,0.742,0.6554,0.6987
14.6,-0.0288,0.7084,0.6156,0.6364,0.7413,0.6889,0.6751,0.6713,0.6732,0.7538,0.651,0.7024
14.7,-0.0333,0.6942,0.5961,0.628,0.729,0.6785,0.6606,0.6602,0.6604,0.7644,0.645,0.7047
14.8,-0.0399,0.6782,0.5759,0.6193,0.7142,0.6668,0.6462,0.6481,0.6471,0.7735,0.6377,0.7056
14.9,-0.0479,0.661,0.5554,0.6105,0.6972,0.6539,0.632,0.6354,0.6337,0.7808,0.6293,0.7051
