Time,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
16.8,-0.065,0.6839,0.65,0.6435,0.6177,0.6306,0.5216,0.6707,0.5961,0.3679,0.6012,0.4845
16.9,-0.0806,0.6615,0.6725,0.6195,0.5958,0.6076,0.5429,0.6849,0.6139,0.4152,0.6162,0.5157
17,-0.0919,0.6359,0.6927,0.5949,0.5698,0.5824,0.5628,0.6974,0.6301,0.4626,0.6304,0.5465
17.1,-0.0996,0.6074,0.7098,0.5703,0.5407,0.5555,0.5812,0.7079,0.6446,0.5093,0.6436,0.5765
17.2,-0.1051,0.5763,0.7231,0.5457,0.5105,0.5281,0.5979,0.7166,0.6572,0.5543,0.6557,0.605
17.3,-0.1088,0.543,0.7322,0.5205,0.4802,0.5004,0.6132,0.7233,0.6682,0.5973,0.6667,0.632
17.4,-0.1106,0.5079,0.737,0.4944,0.4505,0.4725,0.6272,0.7281,0.6776,0.6378,0.677,0.6574
17.5,-0.1102,0.472,0.7372,0.4679,0.4219,0.4449,0.6403,0.7311,0.6857,0.6755,0.6865,0.681
17.6,-0.1072,0.4365,0.7327,0.4422,0.3954,0.4188,0.6528,0.7325,0.6927,0.7099,0.6951,0.7025
17.7,-0.1019,0.4028,0.724,0.4184,0.3714,0.3949,0.6648,0.7328,0.6988,0.7407,0.7027,0.7217
17.8,-0.0948,0.3719,0.7112,0.3967,0.3504,0.3736,0.6759,0.7321,0.704,0.7677,0.7094,0.7385
17.9,-0.0868,0.3442,0.6954,0.3772,0.3322,0.3547,0.6855,0.7306,0.708,0.7902,0.715,0.7526
18,-0.0792,0.32,0.6776,0.3599,0.3177,0.3388,0.6928,0.7288,0.7108,0.8075,0.7195,0.7635
18.1,-0.0738,0.2994,0.6586,0.345,0.3077,0.3263,0.6977,0.7265,0.7121,0.8189,0.7227,0.7708
18.2,-0.0718,0.2829,0.6387,0.3326,0.3024,0.3175,0.7001,0.7237,0.7119,0.8241,0.7242,0.7742
18.3,-0.0733,0.271,0.6178,0.3232,0.301,0.3121,0.6999,0.7204,0.7102,0.823,0.7239,0.7734
18.4,-0.0774,0.2639,0.5957,0.3175,0.303,0.3102,0.6973,0.7162,0.7067,0.8156,0.7211,0.7683
18.5,-0.0837,0.2616,0.5728,0.3157,0.3082,0.3119,0.6928,0.7106,0.7017,0.8021,0.7153,0.7587
18.6,-0.0929,0.2641,0.5501,0.3176,0.3171,0.3174,0.6865,0.7039,0.6952,0.7833,0.707,0.7452
18.7,-0.1058,0.2714,0.5292,0.3225,0.329,0.3258,0.6787,0.6966,0.6876,0.7608,0.6968,0.7288
18.8,-0.1224,0.2833,0.5116,0.3292,0.3428,0.336,0.6693,0.6889,0.6791,0.7357,0.6853,0.7105
18.9,-0.1418,0.2999,0.4974,0.3374,0.357,0.3472,0.6586,0.681,0.6698,0.7091,0.6727,0.6909
19,-0.1631,0.3213,0.4867,0.3474,0.3715,0.3595,0.6475,0.6733,0.6604,0.6813,0.659,0.6702
