Time,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.7,0.1646,0.7605,0.7367,0.772,0.6514,0.7117,0.8643,0.6736,0.7689,0.659,0.731,0.695
9.8,0.1609,0.7821,0.7388,0.798,0.6748,0.7364,0.8426,0.6715,0.757,0.6567,0.739,0.6978
9.9,0.1617,0.8026,0.7393,0.8264,0.6979,0.7621,0.8182,0.67,0.7441,0.6539,0.7448,0.6994
10,0.1655,0.8211,0.738,0.856,0.7201,0.788,0.7906,0.6681,0.7293,0.6506,0.7481,0.6993
10.1,0.1711,0.8373,0.7352,0.8862,0.7415,0.8139,0.76,0.6657,0.7128,0.6463,0.7485,0.6974
10.2,0.1778,0.8514,0.7314,0.917,0.7624,0.8397,0.7276,0.6633,0.6955,0.6407,0.7459,0.6933
10.3,0.1849,0.8635,0.7273,0.948,0.7827,0.8654,0.6955,0.662,0.6787,0.6334,0.7407,0.687
10.4,0.1909,0.8738,0.7236,0.9786,0.8026,0.8906,0.6659,0.6622,0.664,0.6244,0.7332,0.6788
10.5,0.1938,0.8819,0.7205,1.0076,0.8216,0.9146,0.6401,0.6642,0.6521,0.6136,0.7243,0.6689
10.6,0.1921,0.8875,0.7182,1.0339,0.8393,0.9366,0.6193,0.6679,0.6436,0.6014,0.7143,0.6579
10.7,0.185,0.8907,0.7167,1.0567,0.8551,0.9559,0.6053,0.6734,0.6394,0.5884,0.7039,0.6461
10.8,0.1723,0.8916,0.7165,1.0751,0.8688,0.9719,0.5999,0.6805,0.6402,0.5751,0.6932,0.6342
10.9,0.1536,0.8905,0.718,1.0885,0.8803,0.9844,0.6046,0.6888,0.6467,0.5621,0.6826,0.6223
11,0.1283,0.8875,0.7217,1.0964,0.8899,0.9932,0.6197,0.6977,0.6587,0.5499,0.6724,0.6111
11.1,0.0968,0.8828,0.7279,1.0988,0.8976,0.9982,0.6442,0.7066,0.6754,0.5389,0.6631,0.601
11.2,0.06,0.8766,0.7369,1.0959,0.9032,0.9996,0.6761,0.715,0.6956,0.5296,0.6554,0.5925
11.3,0.0199,0.8687,0.7482,1.0881,0.9065,0.9973,0.7132,0.7229,0.7181,0.5224,0.6503,0.5864
11.4,-0.0213,0.8589,0.7612,1.0754,0.9074,0.9914,0.7527,0.7302,0.7415,0.5176,0.6481,0.5829
11.5,-0.0613,0.8469,0.7748,1.0579,0.9058,0.9819,0.7921,0.7367,0.7644,0.5153,0.6485,0.5819
11.6,-0.0983,0.8331,0.7886,1.0359,0.9017,0.9688,0.8295,0.7424,0.786,0.5159,0.6509,0.5834
11.7,-0.1298,0.8178,0.8027,1.01,0.8955,0.9527,0.8635,0.7478,0.8057,0.5196,0.6547,0.5871
11.8,-0.1541,0.8012,0.8174,0.981,0.8868,0.9339,0.8933,0.7534,0.8233,0.5261,0.6599,0.593
11.9,-0.1709,0.783,0.8326,0.95,0.8755,0.9128,0.9181,0.7596,0.8388,0.535,0.6664,0.6007
12,-0.1809,0.7631,0.848,0.9177,0.8611,0.8894,0.9372,0.7669,0.852,0.5454,0.6735,0.6094
12.1,-0.1852,0.7417,0.8632,0.885,0.8437,0.8643,0.95,0.7755,0.8628,0.5567,0.6813,0.619
12.2,-0.1851,0.7201,0.8783,0.8534,0.824,0.8387,0.9563,0.7857,0.871,0.5688,0.6897,0.6292
12.3,-0.1811,0.6999,0.8929,0.8247,0.8036,0.8142,0.9566,0.7972,0.8769,0.5815,0.6988,0.6401
12.4,-0.1738,0.6823,0.9055,0.7999,0.7842,0.792,0.9515,0.8096,0.8805,0.5938,0.708,0.6509
12.5,-0.1653,0.6678,0.9146,0.7787,0.7671,0.7729,0.9419,0.8227,0.8823,0.6046,0.7165,0.6605
12.6,-0.1571,0.6561,0.9188,0.7608,0.7528,0.7568,0.9288,0.8359,0.8823,0.6127,0.7233,0.668
12.7,-0.1502,0.647,0.9179,0.746,0.7416,0.7438,0.9126,0.8491,0.8809,0.6174,0.7283,0.6728
12.8,-0.1439,0.64,0.9127,0.7346,0.7332,0.7339,0.8937,0.8619,0.8778,0.6182,0.7317,0.675
12.9,-0.1373,0.6351,0.9041,0.7266,0.7274,0.727,0.872,0.8744,0.8732,0.6151,0.734,0.6745
13,-0.1307,0.6313,0.8926,0.721,0.723,0.722,0.8475,0.8866,0.8671,0.6083,0.7353,0.6718
13.1,-0.1256,0.6279,0.8791,0.7164,0.719,0.7177,0.8206,0.8985,0.8596,0.5985,0.7358,0.6671
13.2,-0.1235,0.624,0.8645,0.7114,0.7145,0.7129,0.7918,0.9097,0.8508,0.5864,0.7362,0.6613
13.3,-0.1253,0.6187,0.8496,0.7057,0.7094,0.7075,0.7616,0.9196,0.8406,0.5732,0.7373,0.6553
13.4,-0.1309,0.6117,0.835,0.6994,0.7039,0.7016,0.7309,0.9273,0.8291,0.5595,0.7398,0.6497
13.5,-0.1403,0.603,0.8215,0.6925,0.6979,0.6952,0.701,0.9327,0.8169,0.5454,0.7441,0.6448
13.6,-0.1538,0.5928,0.8097,0.6846,0.6913,0.688,0.6735,0.9363,0.8049,0.5313,0.7499,0.6406
13.7,-0.171,0.5814,0.7997,0.6747,0.6838,0.6793,0.65,0.9385,0.7942,0.5171,0.7564,0.6367
13.8,-0.1902,0.5693,0.7913,0.6622,0.6752,0.6687,0.6311,0.9396,0.7853,0.5026,0.7629,0.6328
13.9,-0.2092,0.5568,0.7839,0.6476,0.6654,0.6565,0.6168,0.9394,0.7781,0.4874,0.7684,0.6279
14,-0.2267,0.5444,0.7768,0.6319,0.6543,0.6431,0.6066,0.9383,0.7725,0.4713,0.772,0.6216
14.1,-0.242,0.5328,0.7698,0.6165,0.6427,0.6296,0.6007,0.9369,0.7688,0.4542,0.7736,0.6139
14.2,-0.2544,0.5225,0.763,0.6021,0.6309,0.6165,0.5991,0.9359,0.7675,0.4363,0.7729,0.6046
14.3,-0.2614,0.514,0.7569,0.589,0.6196,0.6043,0.6015,0.9356,0.7685,0.4178,0.7702,0.594
14.4,-0.2608,0.5076,0.7518,0.5771,0.6088,0.593,0.6073,0.9359,0.7716,0.3991,0.7657,0.5824
14.5,-0.2521,0.5027,0.7475,0.5662,0.5981,0.5821,0.615,0.9365,0.7757,0.3806,0.7596,0.5701
14.6,-0.2372,0.4984,0.744,0.5553,0.5872,0.5712,0.6231,0.9376,0.7803,0.3628,0.7517,0.5573
14.7,-0.2185,0.4949,0.7409,0.5438,0.5768,0.5603,0.6306,0.9399,0.7852,0.3461,0.7416,0.5439
14.8,-0.1978,0.4926,0.7381,0.532,0.5681,0.55,0.6365,0.944,0.7902,0.3301,0.7288,0.5294
14.9,-0.1762,0.4926,0.7359,0.5206,0.5628,0.5417,0.6395,0.9497,0.7946,0.3139,0.7129,0.5134
