Time,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC,Holden - You Got This 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.3,-0.2395,0.4536,0.3648,0.6631,0.4739,0.5685,0.5465,0.5227,0.5346,0.7131,0.4993,0.6062
13.4,-0.1882,0.4287,0.3754,0.6527,0.476,0.5644,0.5487,0.5288,0.5387,0.7307,0.5292,0.63
13.5,-0.1414,0.407,0.3873,0.6419,0.4783,0.5601,0.5497,0.534,0.5418,0.744,0.5585,0.6512
13.6,-0.102,0.3884,0.4008,0.6304,0.4806,0.5555,0.5495,0.5388,0.5441,0.7519,0.586,0.669
13.7,-0.0722,0.3725,0.4161,0.6182,0.4828,0.5505,0.5478,0.5438,0.5458,0.754,0.6112,0.6826
13.8,-0.0547,0.3589,0.4335,0.6063,0.4854,0.5459,0.5454,0.5494,0.5474,0.7508,0.6336,0.6922
13.9,-0.0514,0.3474,0.4535,0.5956,0.489,0.5423,0.5432,0.5562,0.5497,0.7426,0.6525,0.6976
14,-0.0635,0.3384,0.4759,0.586,0.4938,0.5399,0.5419,0.5645,0.5532,0.7297,0.6676,0.6986
14.1,-0.0909,0.3326,0.5,0.5771,0.4999,0.5385,0.5418,0.5741,0.558,0.7123,0.6784,0.6954
14.2,-0.1329,0.3311,0.5253,0.5687,0.508,0.5384,0.5424,0.5849,0.5636,0.6911,0.6851,0.6881
14.3,-0.1882,0.3344,0.5514,0.5612,0.5188,0.54,0.5433,0.5968,0.5701,0.6674,0.6884,0.6779
14.4,-0.2546,0.3425,0.5778,0.5551,0.5327,0.5439,0.5449,0.6103,0.5776,0.6432,0.69,0.6666
14.5,-0.3281,0.3546,0.6041,0.5501,0.5488,0.5494,0.5478,0.6254,0.5866,0.6203,0.6913,0.6558
14.6,-0.404,0.3695,0.6292,0.5452,0.565,0.5551,0.5522,0.6417,0.5969,0.5997,0.6929,0.6463
14.7,-0.4779,0.3858,0.652,0.5398,0.5793,0.5595,0.5576,0.6581,0.6078,0.5817,0.6946,0.6382
14.8,-0.5472,0.4031,0.6713,0.5338,0.5905,0.5622,0.5635,0.6741,0.6188,0.5663,0.696,0.6311
14.9,-0.6108,0.4212,0.6865,0.5278,0.5982,0.563,0.5694,0.6896,0.6295,0.5533,0.6963,0.6248
15,-0.6678,0.4405,0.6975,0.5221,0.6028,0.5625,0.5754,0.7048,0.6401,0.5422,0.6958,0.619
15.1,-0.7171,0.4609,0.7042,0.5173,0.6051,0.5612,0.5816,0.7201,0.6508,0.5333,0.695,0.6141
15.2,-0.7572,0.4827,0.7069,0.5138,0.606,0.5599,0.5883,0.7355,0.6619,0.527,0.695,0.611
15.3,-0.7875,0.5058,0.7055,0.5118,0.6058,0.5588,0.5956,0.7507,0.6732,0.5238,0.6962,0.61
15.4,-0.8076,0.5299,0.7,0.5114,0.6048,0.5581,0.6031,0.7653,0.6842,0.5234,0.6986,0.611
15.5,-0.8174,0.5539,0.6905,0.5123,0.6028,0.5575,0.6104,0.7786,0.6945,0.5248,0.7019,0.6134
15.6,-0.8162,0.5767,0.6775,0.514,0.5991,0.5566,0.617,0.7899,0.7034,0.5272,0.7059,0.6166
15.7,-0.8034,0.5975,0.6621,0.5165,0.5939,0.5552,0.6228,0.799,0.7109,0.5302,0.7114,0.6208
15.8,-0.7788,0.616,0.6458,0.5199,0.5879,0.5539,0.628,0.806,0.717,0.534,0.7191,0.6266
15.9,-0.7437,0.6328,0.6298,0.5244,0.5827,0.5535,0.6332,0.8112,0.7222,0.539,0.7301,0.6346
16,-0.7002,0.6486,0.6153,0.5303,0.58,0.5552,0.6393,0.8149,0.7271,0.5459,0.7447,0.6453
16.1,-0.6498,0.6644,0.6021,0.5377,0.5811,0.5594,0.6467,0.8171,0.7319,0.5551,0.7624,0.6587
16.2,-0.5927,0.681,0.59,0.5461,0.5866,0.5663,0.6555,0.818,0.7367,0.5664,0.7821,0.6742
16.3,-0.5291,0.6984,0.5785,0.5543,0.596,0.5751,0.6652,0.8171,0.7411,0.5792,0.8028,0.691
16.4,-0.4599,0.7161,0.5678,0.5608,0.608,0.5844,0.675,0.8141,0.7445,0.593,0.8231,0.708
16.5,-0.3878,0.7329,0.5585,0.5638,0.621,0.5924,0.6838,0.8085,0.7462,0.6069,0.8418,0.7243
16.6,-0.3157,0.7469,0.5515,0.5618,0.633,0.5974,0.6909,0.8001,0.7455,0.6204,0.8578,0.7391
16.7,-0.2465,0.7567,0.5472,0.5536,0.6429,0.5982,0.6955,0.7884,0.7419,0.6332,0.8702,0.7517
16.8,-0.1822,0.761,0.5453,0.5396,0.6503,0.595,0.6968,0.7736,0.7352,0.6452,0.8786,0.7619
16.9,-0.124,0.7592,0.5447,0.5211,0.6554,0.5883,0.6942,0.7559,0.725,0.6561,0.8832,0.7697
17,-0.0729,0.7514,0.5446,0.4995,0.6584,0.5789,0.6878,0.7356,0.7117,0.6662,0.8847,0.7754
17.1,-0.0298,0.738,0.544,0.4764,0.659,0.5677,0.678,0.7128,0.6954,0.6752,0.8835,0.7793
17.2,0.0058,0.72,0.5422,0.4531,0.6567,0.5549,0.665,0.6871,0.6761,0.6832,0.8794,0.7813
17.3,0.0365,0.6986,0.5379,0.4306,0.6506,0.5406,0.6494,0.6584,0.6539,0.6897,0.8724,0.781
17.4,0.0647,0.6755,0.5305,0.4094,0.6401,0.5248,0.6312,0.6271,0.6291,0.6941,0.862,0.7781
17.5,0.0914,0.6529,0.5201,0.3905,0.6251,0.5078,0.6113,0.5941,0.6027,0.6964,0.8484,0.7724
17.6,0.1177,0.6322,0.5077,0.3744,0.6062,0.4903,0.5909,0.5607,0.5758,0.6971,0.8322,0.7646
17.7,0.1439,0.6137,0.494,0.3621,0.5838,0.473,0.5714,0.5284,0.5499,0.6971,0.8144,0.7558
17.8,0.1703,0.5969,0.4795,0.3542,0.5585,0.4564,0.5539,0.498,0.5259,0.6973,0.7963,0.7468
17.9,0.1965,0.5817,0.4643,0.3511,0.5313,0.4412,0.5387,0.4695,0.5041,0.6978,0.778,0.7379
18,0.2205,0.5684,0.4484,0.3531,0.5043,0.4287,0.5253,0.4432,0.4842,0.6979,0.7595,0.7287
18.1,0.2399,0.5574,0.4324,0.3604,0.4798,0.4201,0.5135,0.4199,0.4667,0.6973,0.7405,0.7189
18.2,0.2528,0.5488,0.4177,0.3731,0.46,0.4165,0.5037,0.4006,0.4522,0.6956,0.7215,0.7086
18.3,0.2591,0.542,0.4056,0.3906,0.4456,0.4181,0.4964,0.3866,0.4415,0.6933,0.7035,0.6984
18.4,0.2592,0.5365,0.3974,0.4119,0.4372,0.4246,0.4923,0.3786,0.4355,0.691,0.6878,0.6894
18.5,0.2537,0.5323,0.3933,0.436,0.4351,0.4355,0.4914,0.3765,0.434,0.6887,0.6746,0.6817
18.6,0.2429,0.5295,0.3933,0.4618,0.4392,0.4505,0.4934,0.3799,0.4366,0.6858,0.6634,0.6746
18.7,0.2274,0.5282,0.3974,0.4883,0.4493,0.4688,0.4979,0.3881,0.443,0.6811,0.6532,0.6672
18.8,0.2093,0.5282,0.4057,0.5151,0.4648,0.49,0.5046,0.401,0.4528,0.6738,0.6432,0.6585
18.9,0.1901,0.53,0.4187,0.5418,0.4854,0.5136,0.5138,0.4183,0.466,0.6639,0.6334,0.6487
19,0.1702,0.5344,0.4367,0.5677,0.5106,0.5391,0.5255,0.4396,0.4825,0.6523,0.6245,0.6384
19.1,0.1489,0.5421,0.4593,0.5914,0.5402,0.5658,0.5397,0.4641,0.5019,0.6397,0.6169,0.6283
19.2,0.1258,0.5531,0.4853,0.6115,0.5737,0.5926,0.5562,0.4905,0.5234,0.6266,0.6102,0.6184
19.3,0.101,0.5664,0.5135,0.6266,0.6094,0.618,0.5746,0.5175,0.5461,0.6133,0.604,0.6087
19.4,0.0755,0.5807,0.5424,0.6371,0.6455,0.6413,0.5949,0.5439,0.5694,0.6001,0.5979,0.599
19.5,0.0507,0.5955,0.571,0.6444,0.6804,0.6624,0.6169,0.5694,0.5931,0.5874,0.5915,0.5895
19.6,0.0264,0.6105,0.5994,0.6495,0.7129,0.6812,0.6404,0.594,0.6172,0.576,0.5849,0.5804
19.7,0.0001,0.6251,0.6279,0.6525,0.7425,0.6975,0.6654,0.6182,0.6418,0.5667,0.5781,0.5724
