Time,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
17,-0.1404,0.4993,0.6102,0.5394,0.4763,0.5079,0.5573,0.5491,0.5532,0.5305,0.6529,0.5917
17.1,-0.1481,0.4925,0.5904,0.5124,0.4995,0.506,0.5587,0.5182,0.5384,0.5335,0.64,0.5867
17.2,-0.1547,0.483,0.5719,0.4837,0.5183,0.501,0.5582,0.489,0.5236,0.535,0.6274,0.5812
17.3,-0.1597,0.4711,0.5551,0.4543,0.5325,0.4934,0.5555,0.4618,0.5086,0.5349,0.615,0.575
17.4,-0.1629,0.4574,0.5406,0.4257,0.5429,0.4843,0.5504,0.4375,0.494,0.5335,0.6026,0.568
17.5,-0.1639,0.4425,0.5292,0.3994,0.5501,0.4747,0.5436,0.4169,0.4802,0.5312,0.5908,0.561
17.6,-0.1629,0.4271,0.5217,0.3766,0.5549,0.4657,0.5356,0.4008,0.4682,0.5288,0.5803,0.5545
17.7,-0.1601,0.4119,0.5185,0.3579,0.5577,0.4578,0.5271,0.3894,0.4583,0.5269,0.5713,0.5491
17.8,-0.1556,0.3974,0.5194,0.3436,0.559,0.4513,0.5189,0.3829,0.4509,0.526,0.5639,0.545
17.9,-0.1498,0.3841,0.5237,0.3333,0.5592,0.4463,0.5113,0.3807,0.446,0.5268,0.5581,0.5424
18,-0.1427,0.3724,0.5302,0.327,0.5587,0.4428,0.5046,0.3826,0.4436,0.5296,0.5537,0.5417
18.1,-0.134,0.3626,0.5377,0.324,0.5574,0.4407,0.4987,0.3877,0.4432,0.5347,0.5511,0.5429
18.2,-0.1235,0.3548,0.5456,0.324,0.5553,0.4397,0.4938,0.3957,0.4447,0.5423,0.5506,0.5464
18.3,-0.111,0.3492,0.5536,0.3264,0.5526,0.4395,0.4899,0.4064,0.4482,0.5528,0.5527,0.5528
18.4,-0.0964,0.3455,0.5617,0.3302,0.549,0.4396,0.4873,0.4199,0.4536,0.5662,0.5576,0.5619
