Time,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
15.5,-0.3818,0.6546,0.4234,0.7136,0.6104,0.662,0.3447,0.6835,0.5141,0.526,0.5123,0.5192
15.6,-0.3421,0.6251,0.4038,0.7032,0.5905,0.6469,0.3347,0.6693,0.502,0.5167,0.5018,0.5092
15.7,-0.3116,0.5987,0.3828,0.6887,0.5727,0.6307,0.3251,0.6536,0.4894,0.5077,0.4891,0.4984
15.8,-0.2907,0.5758,0.3614,0.6712,0.5574,0.6143,0.3161,0.6365,0.4763,0.4999,0.4744,0.4872
15.9,-0.2791,0.5568,0.3401,0.6515,0.5452,0.5983,0.3081,0.618,0.4631,0.4937,0.4578,0.4757
16,-0.2758,0.5413,0.3195,0.6305,0.536,0.5832,0.3014,0.5984,0.4499,0.489,0.4394,0.4642
16.1,-0.28,0.5293,0.3,0.6086,0.5295,0.569,0.2969,0.5779,0.4374,0.4859,0.4198,0.4528
16.2,-0.2901,0.5204,0.2816,0.5867,0.525,0.5558,0.2954,0.5569,0.4261,0.4849,0.4001,0.4425
16.3,-0.3042,0.515,0.2649,0.5657,0.5221,0.5439,0.2973,0.5362,0.4167,0.4872,0.3816,0.4344
16.4,-0.3202,0.5134,0.2502,0.5465,0.5212,0.5338,0.3028,0.5172,0.41,0.493,0.3655,0.4293
16.5,-0.3361,0.5153,0.2381,0.5301,0.5222,0.5261,0.3117,0.5012,0.4065,0.5021,0.3527,0.4274
16.6,-0.3508,0.5202,0.2296,0.517,0.5252,0.5211,0.3234,0.489,0.4062,0.5128,0.343,0.4279
16.7,-0.3637,0.5275,0.2252,0.508,0.5297,0.5189,0.3372,0.4809,0.4091,0.5234,0.3362,0.4298
16.8,-0.3746,0.5371,0.2254,0.5039,0.5355,0.5197,0.3526,0.4771,0.4149,0.5324,0.3327,0.4325
16.9,-0.3831,0.5494,0.231,0.5056,0.5427,0.5241,0.3693,0.4781,0.4237,0.5396,0.3329,0.4362
17,-0.3892,0.5644,0.243,0.5139,0.5519,0.5329,0.3869,0.4842,0.4356,0.5448,0.3374,0.4411
