Time,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
14.6,-0.3773,0.9793,0.264,0.9465,1.0104,0.9785,0.9157,1.0005,0.9581,0.5792,0.4334,0.5063
14.7,-0.4039,1.0026,0.2527,0.9883,1.0584,1.0233,0.897,1.0181,0.9576,0.5642,0.4283,0.4962
14.8,-0.4288,1.0216,0.2488,1.0235,1.103,1.0633,0.8721,1.0284,0.9503,0.5448,0.4217,0.4833
14.9,-0.4525,1.035,0.2507,1.0491,1.1407,1.0949,0.8401,1.0303,0.9352,0.5214,0.4139,0.4677
15,-0.4754,1.0429,0.2578,1.0632,1.1698,1.1165,0.8009,1.0245,0.9127,0.4945,0.4052,0.4499
15.1,-0.4957,1.0461,0.2694,1.0659,1.191,1.1284,0.7563,1.0126,0.8845,0.465,0.3965,0.4308
15.2,-0.5104,1.0452,0.2847,1.0581,1.2051,1.1316,0.7096,0.9955,0.8525,0.4342,0.3887,0.4114
15.3,-0.5178,1.0409,0.302,1.0403,1.2119,1.1261,0.6637,0.973,0.8184,0.4028,0.3825,0.3926
15.4,-0.5183,1.0337,0.3195,1.0137,1.211,1.1123,0.6212,0.9451,0.7831,0.3712,0.3777,0.3745
15.5,-0.5126,1.0242,0.3363,0.9805,1.2024,1.0915,0.5834,0.9125,0.748,0.3393,0.3743,0.3568
15.6,-0.5003,1.0133,0.3523,0.9447,1.1879,1.0663,0.5508,0.8768,0.7138,0.308,0.372,0.34
15.7,-0.4804,1.0017,0.3671,0.9104,1.1698,1.0401,0.5239,0.8396,0.6818,0.2788,0.3712,0.325
15.8,-0.4533,0.99,0.3797,0.881,1.1503,1.0157,0.5031,0.8023,0.6527,0.2541,0.3728,0.3134
15.9,-0.4218,0.9789,0.3898,0.8579,1.1309,0.9944,0.4898,0.7661,0.628,0.2351,0.3778,0.3064
16,-0.3902,0.969,0.3982,0.841,1.1118,0.9764,0.4851,0.732,0.6085,0.2225,0.3871,0.3048
16.1,-0.3621,0.9603,0.4057,0.8289,1.0934,0.9611,0.4892,0.701,0.5951,0.216,0.4013,0.3087
16.2,-0.3394,0.9525,0.4124,0.82,1.0762,0.9481,0.5015,0.6737,0.5876,0.2153,0.4203,0.3178
16.3,-0.3218,0.945,0.4173,0.8135,1.0603,0.9369,0.5205,0.6498,0.5852,0.2199,0.4424,0.3311
16.4,-0.3084,0.9372,0.4195,0.8083,1.0447,0.9265,0.5441,0.6286,0.5863,0.2287,0.4662,0.3474
16.5,-0.2989,0.9284,0.4194,0.8034,1.028,0.9157,0.57,0.6092,0.5896,0.2408,0.4908,0.3658
16.6,-0.2928,0.9177,0.4183,0.7972,1.0086,0.9029,0.5968,0.5916,0.5942,0.2559,0.5166,0.3862
16.7,-0.2898,0.9043,0.4174,0.7886,0.9856,0.8871,0.6229,0.5759,0.5994,0.2737,0.5433,0.4085
16.8,-0.2889,0.8877,0.4168,0.7769,0.9583,0.8676,0.6477,0.5624,0.605,0.2942,0.5699,0.432
16.9,-0.289,0.8679,0.4162,0.7624,0.9271,0.8447,0.6708,0.5512,0.611,0.3167,0.5941,0.4554
17,-0.2894,0.8453,0.4153,0.7455,0.8917,0.8186,0.6915,0.5423,0.6169,0.3395,0.6138,0.4767
17.1,-0.2905,0.8195,0.4143,0.7261,0.852,0.7891,0.7085,0.5355,0.622,0.3603,0.6272,0.4937
17.2,-0.2931,0.7907,0.4139,0.7042,0.808,0.7561,0.721,0.5311,0.626,0.3774,0.6335,0.5054
17.3,-0.2985,0.7596,0.4145,0.6801,0.7603,0.7202,0.7283,0.5289,0.6286,0.3908,0.6326,0.5117
17.4,-0.3073,0.7271,0.4161,0.6544,0.7101,0.6822,0.7304,0.5288,0.6296,0.401,0.6253,0.5132
17.5,-0.3185,0.6943,0.4185,0.6277,0.6588,0.6433,0.7277,0.5305,0.6291,0.4083,0.6123,0.5103
17.6,-0.3304,0.6621,0.422,0.601,0.6082,0.6046,0.7208,0.5339,0.6273,0.4122,0.5939,0.5031
17.7,-0.3415,0.6313,0.4268,0.575,0.5601,0.5675,0.711,0.5384,0.6247,0.4128,0.5703,0.4915
17.8,-0.3522,0.6028,0.433,0.5507,0.5164,0.5335,0.6998,0.5442,0.622,0.4105,0.5427,0.4766
17.9,-0.3629,0.5777,0.4401,0.5298,0.479,0.5044,0.6887,0.5512,0.6199,0.4067,0.5137,0.4602
18,-0.3743,0.5569,0.4482,0.5135,0.449,0.4812,0.6786,0.5586,0.6186,0.4028,0.4863,0.4445
18.1,-0.387,0.5408,0.4574,0.5018,0.4265,0.4641,0.6697,0.5662,0.618,0.3997,0.4625,0.4311
18.2,-0.401,0.5297,0.4677,0.4944,0.4115,0.4529,0.6624,0.5743,0.6183,0.3983,0.4436,0.421
18.3,-0.416,0.5239,0.479,0.4911,0.4043,0.4477,0.6572,0.5839,0.6205,0.3992,0.4301,0.4146
18.4,-0.4312,0.5234,0.491,0.4927,0.4061,0.4494,0.6551,0.5962,0.6257,0.4028,0.4222,0.4125
