Time,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.4,-0.0056,0.6211,0.7489,0.7293,0.7872,0.7582,0.8266,0.764,0.7953,0.6371,0.7115,0.6743
11.5,-0.0198,0.6177,0.7509,0.732,0.789,0.7605,0.8266,0.7596,0.7931,0.6322,0.7106,0.6714
11.6,-0.034,0.6162,0.7558,0.7354,0.7913,0.7633,0.8294,0.7563,0.7928,0.6308,0.7122,0.6715
11.7,-0.0478,0.6165,0.763,0.7388,0.7936,0.7662,0.8341,0.7534,0.7938,0.6325,0.7158,0.6742
11.8,-0.0613,0.6184,0.7719,0.7418,0.7953,0.7686,0.84,0.7506,0.7953,0.6367,0.7208,0.6788
11.9,-0.0744,0.6212,0.7819,0.7439,0.7963,0.7701,0.8462,0.7473,0.7968,0.6429,0.7263,0.6846
12,-0.087,0.6249,0.7922,0.7449,0.7966,0.7708,0.852,0.7435,0.7978,0.6505,0.7317,0.6911
12.1,-0.099,0.6299,0.8027,0.745,0.7965,0.7707,0.8571,0.739,0.7981,0.6597,0.7368,0.6983
12.2,-0.1102,0.6368,0.8135,0.7442,0.7961,0.7702,0.8614,0.7342,0.7978,0.6704,0.7416,0.706
12.3,-0.1206,0.6454,0.825,0.7426,0.7957,0.7692,0.8649,0.7293,0.7971,0.6825,0.7462,0.7144
12.4,-0.1307,0.655,0.8372,0.7401,0.7955,0.7678,0.8675,0.7247,0.7961,0.6957,0.7507,0.7232
12.5,-0.1408,0.6653,0.85,0.7371,0.7956,0.7664,0.8691,0.7209,0.795,0.7095,0.7552,0.7323
12.6,-0.1508,0.6767,0.863,0.7343,0.7965,0.7654,0.8695,0.7183,0.7939,0.7231,0.7595,0.7413
12.7,-0.1596,0.6896,0.8752,0.7322,0.7983,0.7652,0.8685,0.7169,0.7927,0.7356,0.7634,0.7495
12.8,-0.1665,0.7038,0.8852,0.7312,0.8007,0.7659,0.8659,0.7167,0.7913,0.7457,0.766,0.7559
12.9,-0.1712,0.7185,0.892,0.7308,0.8033,0.767,0.8617,0.717,0.7893,0.7523,0.7667,0.7595
13,-0.1741,0.7327,0.8948,0.7309,0.8054,0.7681,0.8561,0.7175,0.7868,0.7548,0.7647,0.7598
13.1,-0.1759,0.7461,0.8939,0.7315,0.8073,0.7694,0.8495,0.7183,0.7839,0.7537,0.7605,0.7571
13.2,-0.177,0.7587,0.8898,0.7331,0.8096,0.7713,0.8423,0.7196,0.7809,0.7496,0.7546,0.7521
13.3,-0.1778,0.7707,0.8832,0.7359,0.8123,0.7741,0.8346,0.7213,0.7779,0.7433,0.7475,0.7454
13.4,-0.1783,0.7818,0.8743,0.7399,0.8157,0.7778,0.8267,0.7234,0.775,0.7357,0.7399,0.7378
13.5,-0.1787,0.7919,0.8636,0.745,0.8194,0.7822,0.819,0.7256,0.7723,0.7277,0.7322,0.73
13.6,-0.179,0.8012,0.8516,0.7512,0.8233,0.7873,0.812,0.7277,0.7698,0.7199,0.7251,0.7225
