Time,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.9,-0.0461,0.6651,0.3355,0.4459,0.7027,0.5743,0.3246,0.3389,0.3318,0.5472,0.5724,0.5598
14,-0.0271,0.6612,0.3241,0.4101,0.6952,0.5527,0.2912,0.3206,0.3059,0.5607,0.5667,0.5637
14.1,-0.0116,0.6567,0.3151,0.3756,0.6864,0.531,0.2595,0.3056,0.2825,0.5746,0.5607,0.5676
14.2,0.0006,0.6513,0.3082,0.3434,0.6765,0.51,0.2297,0.294,0.2619,0.5885,0.5542,0.5713
14.3,0.009,0.6447,0.3038,0.3141,0.6654,0.4898,0.2021,0.2861,0.2441,0.6017,0.5464,0.5741
14.4,0.0122,0.6362,0.3023,0.2885,0.6536,0.4711,0.1773,0.2826,0.23,0.6137,0.5374,0.5756
14.5,0.0088,0.6257,0.3043,0.2673,0.6419,0.4546,0.1559,0.2836,0.2197,0.6239,0.5278,0.5758
14.6,-0.0013,0.6133,0.3099,0.2508,0.6313,0.441,0.1386,0.2888,0.2137,0.6319,0.5182,0.575
14.7,-0.0172,0.5994,0.3189,0.2388,0.622,0.4304,0.1258,0.2974,0.2116,0.6373,0.5085,0.5729
14.8,-0.0372,0.5843,0.3313,0.2309,0.6139,0.4224,0.1176,0.3089,0.2133,0.64,0.4986,0.5693
14.9,-0.0599,0.5684,0.3475,0.2268,0.6069,0.4168,0.1142,0.3232,0.2187,0.6399,0.488,0.5639
15,-0.0845,0.5517,0.3679,0.2257,0.6009,0.4133,0.1161,0.3397,0.2279,0.637,0.4764,0.5567
15.1,-0.1102,0.5347,0.3923,0.2272,0.5959,0.4116,0.1235,0.3583,0.2409,0.6313,0.4638,0.5475
15.2,-0.1354,0.5184,0.4203,0.2313,0.5922,0.4118,0.1372,0.3784,0.2578,0.6228,0.4503,0.5366
15.3,-0.1585,0.5037,0.451,0.2384,0.59,0.4142,0.1574,0.3999,0.2786,0.6118,0.4355,0.5236
15.4,-0.1784,0.4916,0.4837,0.249,0.5896,0.4193,0.1841,0.4226,0.3034,0.5983,0.419,0.5086
15.5,-0.1944,0.4823,0.5175,0.2635,0.5914,0.4274,0.217,0.4467,0.3319,0.582,0.4012,0.4916
15.6,-0.2058,0.4759,0.5511,0.2822,0.5953,0.4388,0.2555,0.4719,0.3637,0.5626,0.3831,0.4729
15.7,-0.212,0.4724,0.5833,0.3055,0.6011,0.4533,0.2983,0.4978,0.398,0.54,0.3661,0.4531
15.8,-0.2123,0.472,0.613,0.3335,0.6082,0.4708,0.3432,0.5239,0.4335,0.5143,0.3513,0.4328
15.9,-0.2068,0.4749,0.6395,0.3657,0.6159,0.4908,0.3876,0.55,0.4688,0.487,0.3394,0.4132
16,-0.1961,0.4808,0.6624,0.4011,0.6242,0.5127,0.4289,0.576,0.5025,0.4598,0.3306,0.3952
