Time,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.1,0.0072,0.8509,0.4073,0.8,0.6477,0.7238,0.7323,0.4579,0.5951,0.4212,0.6982,0.5597
12.2,0.001,0.8589,0.397,0.8307,0.6684,0.7496,0.742,0.4771,0.6096,0.4164,0.7026,0.5595
12.3,-0.001,0.8635,0.3901,0.862,0.6862,0.7741,0.7486,0.4963,0.6225,0.4104,0.7033,0.5569
12.4,0,0.8637,0.3854,0.8911,0.6993,0.7952,0.751,0.5138,0.6324,0.4023,0.7002,0.5513
12.5,0.0019,0.8591,0.3821,0.9158,0.7069,0.8114,0.7485,0.5284,0.6385,0.3922,0.6941,0.5432
12.6,0.0036,0.8498,0.3792,0.9345,0.7084,0.8215,0.7417,0.5399,0.6408,0.3806,0.6868,0.5337
12.7,0.0054,0.8362,0.3755,0.9468,0.7043,0.8256,0.7308,0.5481,0.6394,0.3683,0.6794,0.5239
12.8,0.0087,0.8195,0.3696,0.9531,0.6951,0.8241,0.716,0.5529,0.6344,0.356,0.6734,0.5147
12.9,0.014,0.801,0.3614,0.9542,0.6818,0.818,0.6978,0.5545,0.6262,0.3446,0.6696,0.5071
13,0.0208,0.7821,0.3511,0.9516,0.6649,0.8083,0.6768,0.5536,0.6152,0.3344,0.6682,0.5013
13.1,0.0282,0.7639,0.3387,0.9459,0.6451,0.7955,0.6531,0.5502,0.6016,0.3253,0.6685,0.4969
13.2,0.0362,0.7467,0.3234,0.9368,0.6221,0.7795,0.6265,0.544,0.5853,0.3173,0.6692,0.4932
13.3,0.0455,0.7299,0.3044,0.9229,0.5957,0.7593,0.597,0.5344,0.5657,0.3102,0.6684,0.4893
13.4,0.0563,0.7132,0.2817,0.9025,0.5655,0.734,0.5646,0.5209,0.5428,0.304,0.6649,0.4844
13.5,0.0684,0.697,0.2561,0.8752,0.5319,0.7036,0.5301,0.5042,0.5171,0.2993,0.6584,0.4789
13.6,0.0815,0.6823,0.2288,0.8428,0.4963,0.6695,0.4947,0.4851,0.4899,0.2969,0.6498,0.4734
13.7,0.0966,0.6701,0.2004,0.8078,0.4603,0.6341,0.4596,0.4643,0.462,0.2971,0.6394,0.4682
13.8,0.1155,0.6614,0.1718,0.7735,0.4256,0.5995,0.4258,0.4421,0.434,0.2992,0.6266,0.4629
13.9,0.1389,0.6565,0.1435,0.7422,0.3932,0.5677,0.3945,0.4187,0.4066,0.3023,0.6103,0.4563
14,0.166,0.6547,0.1164,0.7148,0.3642,0.5395,0.3667,0.3946,0.3807,0.3054,0.5895,0.4475
14.1,0.1949,0.6548,0.091,0.6911,0.3396,0.5153,0.3434,0.3709,0.3571,0.3085,0.5645,0.4365
14.2,0.2254,0.6554,0.068,0.67,0.32,0.495,0.3248,0.3488,0.3368,0.3124,0.5364,0.4244
14.3,0.2577,0.6556,0.0473,0.6509,0.3056,0.4782,0.3111,0.3299,0.3205,0.3174,0.507,0.4122
14.4,0.2915,0.6548,0.0291,0.6334,0.296,0.4647,0.3027,0.3152,0.3089,0.3243,0.4786,0.4014
14.5,0.3251,0.6527,0.0139,0.617,0.2907,0.4539,0.3006,0.3055,0.3031,0.334,0.4535,0.3937
14.6,0.3562,0.6483,0.0029,0.6009,0.2888,0.4449,0.3056,0.3017,0.3036,0.3473,0.4339,0.3906
14.7,0.3825,0.6412,-0.0024,0.5838,0.2894,0.4366,0.3174,0.3039,0.3107,0.3647,0.4209,0.3928
14.8,0.4021,0.6314,-0.001,0.564,0.2919,0.4279,0.3345,0.3119,0.3232,0.3858,0.4137,0.3997
14.9,0.4143,0.6193,0.0075,0.5413,0.2958,0.4185,0.3546,0.3245,0.3395,0.41,0.4109,0.4105
