Time,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
12.8,-0.2737,0.556,0.4485,0.6172,0.4006,0.5089,0.5649,0.3376,0.4512,0.6187,0.5812,0.5999
12.9,-0.3158,0.5521,0.4662,0.6322,0.4091,0.5206,0.5833,0.3533,0.4683,0.6309,0.6034,0.6172
13,-0.3538,0.547,0.4824,0.6423,0.4178,0.5301,0.5996,0.3686,0.4841,0.6454,0.6281,0.6367
13.1,-0.3852,0.541,0.4977,0.6477,0.4265,0.5371,0.614,0.3834,0.4987,0.6612,0.6546,0.6579
13.2,-0.4088,0.5348,0.5123,0.6492,0.435,0.5421,0.627,0.3977,0.5124,0.6775,0.6826,0.6801
13.3,-0.4252,0.5291,0.5261,0.6473,0.443,0.5452,0.6391,0.4121,0.5256,0.694,0.7119,0.7029
13.4,-0.4356,0.5241,0.5392,0.6423,0.4502,0.5463,0.6511,0.427,0.539,0.7107,0.7433,0.727
13.5,-0.4405,0.5201,0.5522,0.635,0.4561,0.5455,0.6636,0.4429,0.5533,0.7279,0.7771,0.7525
13.6,-0.4389,0.5168,0.5657,0.6261,0.4606,0.5434,0.6769,0.4596,0.5683,0.7449,0.812,0.7785
13.7,-0.43,0.5139,0.5791,0.6167,0.4633,0.54,0.6906,0.4765,0.5835,0.7611,0.8459,0.8035
13.8,-0.4147,0.5115,0.5917,0.607,0.4642,0.5356,0.7039,0.4931,0.5985,0.7759,0.8771,0.8265
13.9,-0.395,0.5103,0.6033,0.5973,0.4639,0.5306,0.7163,0.5093,0.6128,0.7885,0.9043,0.8464
14,-0.3728,0.5108,0.6146,0.5878,0.4634,0.5256,0.727,0.5252,0.6261,0.798,0.9269,0.8624
14.1,-0.3488,0.5133,0.6259,0.5786,0.4631,0.5208,0.7358,0.5411,0.6385,0.8041,0.9443,0.8742
14.2,-0.3232,0.5174,0.637,0.5699,0.4628,0.5163,0.743,0.5574,0.6502,0.8068,0.9565,0.8816
14.3,-0.2957,0.5233,0.6482,0.5622,0.4622,0.5122,0.749,0.5739,0.6614,0.8067,0.9631,0.8849
14.4,-0.2666,0.531,0.6589,0.5555,0.4608,0.5081,0.7541,0.5898,0.672,0.8044,0.9641,0.8842
14.5,-0.2366,0.5404,0.668,0.5494,0.4579,0.5036,0.7585,0.6038,0.6812,0.8,0.9595,0.8797
14.6,-0.2062,0.551,0.6744,0.5433,0.453,0.4982,0.7618,0.615,0.6884,0.793,0.9497,0.8713
14.7,-0.1759,0.5633,0.677,0.5375,0.4458,0.4917,0.7638,0.6231,0.6934,0.7825,0.9345,0.8585
14.8,-0.145,0.5782,0.676,0.5329,0.4367,0.4848,0.764,0.6292,0.6966,0.7683,0.9135,0.8409
14.9,-0.1116,0.5963,0.6724,0.5304,0.4258,0.4781,0.7625,0.6339,0.6982,0.7501,0.8864,0.8183
