Time,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC,Subway - Santas Favourite Cookies Viewing 1 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.8,-0.1144,0.768,0.5451,0.7501,0.8731,0.8116,0.6396,0.5351,0.5874,0.3952,0.6586,0.5269
10.9,-0.1091,0.747,0.5194,0.7295,0.862,0.7957,0.635,0.5199,0.5774,0.3659,0.627,0.4965
11,-0.1046,0.7232,0.4905,0.7053,0.8495,0.7774,0.6277,0.5033,0.5655,0.337,0.5933,0.4652
11.1,-0.0997,0.6967,0.4596,0.6787,0.8351,0.7569,0.6175,0.4861,0.5518,0.3096,0.559,0.4343
11.2,-0.0928,0.6675,0.4284,0.6511,0.8175,0.7343,0.6048,0.4691,0.537,0.2849,0.5258,0.4054
11.3,-0.0823,0.6357,0.3986,0.6236,0.7955,0.7096,0.5906,0.4528,0.5217,0.2644,0.4954,0.3799
11.4,-0.0669,0.6022,0.3715,0.5969,0.7694,0.6831,0.5753,0.4375,0.5064,0.2487,0.4686,0.3586
11.5,-0.0463,0.568,0.348,0.5714,0.7395,0.6555,0.5591,0.4233,0.4912,0.2376,0.4457,0.3416
11.6,-0.0213,0.534,0.3288,0.5472,0.7067,0.627,0.542,0.4105,0.4762,0.2309,0.4264,0.3286
11.7,0.0069,0.5011,0.3142,0.5247,0.6711,0.5979,0.5243,0.3992,0.4618,0.2281,0.4105,0.3193
11.8,0.0374,0.47,0.3047,0.5047,0.6335,0.5691,0.5067,0.3896,0.4481,0.2283,0.3977,0.313
