Time,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.8,-0.0217,0.6009,0.7723,0.5963,0.6163,0.6063,0.6392,0.6776,0.6584,0.5349,0.5708,0.5528
11.9,-0.0154,0.6001,0.7553,0.5988,0.6052,0.602,0.643,0.671,0.657,0.5395,0.5628,0.5512
12,-0.0095,0.5979,0.739,0.6024,0.5944,0.5984,0.6466,0.6649,0.6557,0.5484,0.5591,0.5537
12.1,-0.0041,0.5941,0.7239,0.6064,0.5841,0.5953,0.6498,0.6596,0.6547,0.5609,0.5594,0.5601
12.2,0.0006,0.5886,0.7103,0.6104,0.5743,0.5924,0.6529,0.6552,0.654,0.5764,0.5635,0.5699
12.3,0.004,0.5817,0.6986,0.6143,0.5652,0.5897,0.6557,0.6517,0.6537,0.5944,0.571,0.5827
12.4,0.0054,0.574,0.6888,0.6176,0.5575,0.5876,0.6585,0.6493,0.6539,0.614,0.5813,0.5976
12.5,0.0043,0.5663,0.6811,0.6203,0.552,0.5862,0.6612,0.648,0.6546,0.6342,0.5936,0.6139
12.6,0.0011,0.5592,0.6754,0.6225,0.5494,0.586,0.664,0.648,0.656,0.6542,0.6072,0.6307
12.7,-0.0037,0.5535,0.6716,0.6242,0.55,0.5871,0.6671,0.6489,0.658,0.6728,0.6211,0.647
12.8,-0.0091,0.5497,0.6693,0.6257,0.5538,0.5897,0.6705,0.6502,0.6604,0.6893,0.6341,0.6617
12.9,-0.0147,0.5484,0.6682,0.6273,0.5611,0.5942,0.6745,0.652,0.6633,0.703,0.6455,0.6743
13,-0.0198,0.5496,0.6679,0.6289,0.5713,0.6001,0.6789,0.6544,0.6667,0.7138,0.6548,0.6843
13.1,-0.0241,0.5534,0.668,0.6301,0.5841,0.6071,0.6834,0.6574,0.6704,0.7215,0.6617,0.6916
13.2,-0.0275,0.5592,0.6681,0.6301,0.5985,0.6143,0.6874,0.6607,0.6741,0.7259,0.666,0.6959
