Time,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
10.6,-0.0386,0.2528,0.539,0.3562,0.3278,0.342,0.4025,0.3118,0.3571,0.7181,0.4986,0.6083
10.7,-0.0362,0.2724,0.5294,0.3644,0.3308,0.3476,0.3894,0.3003,0.3448,0.7215,0.4938,0.6077
10.8,-0.0335,0.2924,0.5195,0.3711,0.3315,0.3513,0.3765,0.2889,0.3327,0.7229,0.4893,0.6061
10.9,-0.0317,0.3119,0.5098,0.3756,0.3307,0.3532,0.3642,0.2785,0.3213,0.7219,0.485,0.6034
11,-0.0321,0.3294,0.5008,0.3774,0.3284,0.3529,0.3524,0.2693,0.3108,0.7181,0.4806,0.5993
11.1,-0.0357,0.344,0.4927,0.3756,0.324,0.3498,0.3412,0.2616,0.3014,0.7108,0.476,0.5934
11.2,-0.0427,0.3552,0.4855,0.37,0.3172,0.3436,0.3311,0.2562,0.2936,0.6996,0.4713,0.5855
11.3,-0.0534,0.3633,0.4794,0.3607,0.3087,0.3347,0.3229,0.2536,0.2882,0.6846,0.4665,0.5755
11.4,-0.0679,0.3693,0.4742,0.3484,0.3,0.3242,0.3174,0.2545,0.2859,0.6658,0.4618,0.5638
11.5,-0.0858,0.3739,0.4702,0.3339,0.2925,0.3132,0.3152,0.2586,0.2869,0.6435,0.4575,0.5505
11.6,-0.1062,0.3774,0.4674,0.3179,0.287,0.3025,0.3162,0.2656,0.2909,0.6183,0.4537,0.536
11.7,-0.128,0.3792,0.4658,0.3008,0.2838,0.2923,0.3202,0.2748,0.2975,0.5906,0.4502,0.5204
11.8,-0.1498,0.3789,0.4653,0.2827,0.2827,0.2827,0.3263,0.286,0.3061,0.561,0.447,0.504
11.9,-0.1706,0.3764,0.4657,0.2645,0.2838,0.2742,0.334,0.299,0.3165,0.5301,0.4438,0.4869
12,-0.1897,0.372,0.4672,0.2475,0.2875,0.2675,0.3427,0.3136,0.3282,0.4985,0.4408,0.4697
12.1,-0.2066,0.3663,0.47,0.2329,0.2936,0.2633,0.3519,0.3293,0.3406,0.4671,0.4382,0.4527
12.2,-0.2208,0.36,0.4745,0.2218,0.3019,0.2618,0.3613,0.345,0.3532,0.4367,0.4358,0.4362
12.3,-0.2322,0.3535,0.4805,0.2143,0.3121,0.2632,0.3705,0.3603,0.3654,0.4078,0.4337,0.4208
12.4,-0.2408,0.3475,0.4873,0.2108,0.3247,0.2677,0.3792,0.375,0.3771,0.3814,0.4321,0.4067
12.5,-0.2466,0.3423,0.4943,0.2116,0.3402,0.2759,0.3871,0.3894,0.3882,0.358,0.4314,0.3947
12.6,-0.2495,0.3381,0.5012,0.2168,0.3588,0.2878,0.394,0.4042,0.3991,0.3382,0.4324,0.3853
12.7,-0.2492,0.3348,0.5077,0.2263,0.3799,0.3031,0.4001,0.4198,0.4099,0.3224,0.4355,0.3789
12.8,-0.2457,0.3323,0.5136,0.2395,0.4027,0.3211,0.4058,0.4361,0.4209,0.3107,0.4404,0.3756
12.9,-0.2392,0.3308,0.5179,0.2556,0.4267,0.3412,0.4113,0.4528,0.432,0.3035,0.447,0.3753
13,-0.2302,0.3304,0.5192,0.2746,0.4514,0.363,0.4167,0.4693,0.443,0.301,0.455,0.378
13.1,-0.2178,0.3309,0.5165,0.2965,0.4756,0.3861,0.4218,0.4845,0.4531,0.3031,0.4641,0.3836
13.2,-0.2009,0.332,0.509,0.3213,0.4978,0.4095,0.426,0.4975,0.4617,0.3092,0.4738,0.3915
13.3,-0.1786,0.3328,0.4968,0.348,0.5162,0.4321,0.4287,0.5076,0.4681,0.3187,0.4832,0.401
13.4,-0.1509,0.3327,0.4807,0.3758,0.5299,0.4528,0.4297,0.5146,0.4722,0.3306,0.4916,0.4111
13.5,-0.1185,0.332,0.4619,0.4037,0.5391,0.4714,0.4295,0.5191,0.4743,0.3441,0.498,0.4211
13.6,-0.0822,0.3311,0.4418,0.4314,0.5444,0.4879,0.4287,0.5218,0.4752,0.3585,0.5024,0.4304
13.7,-0.0434,0.3309,0.4217,0.459,0.5467,0.5029,0.4282,0.5233,0.4758,0.3728,0.5047,0.4388
13.8,-0.004,0.3323,0.403,0.487,0.5466,0.5168,0.4284,0.524,0.4762,0.3864,0.5053,0.4458
13.9,0.0338,0.3362,0.3863,0.5156,0.5454,0.5305,0.429,0.5246,0.4768,0.3982,0.5043,0.4513
14,0.0674,0.3431,0.3725,0.5451,0.5449,0.545,0.4302,0.5256,0.4779,0.4076,0.5019,0.4548
14.1,0.0947,0.3531,0.3617,0.575,0.5465,0.5608,0.432,0.5277,0.4799,0.4142,0.4983,0.4562
14.2,0.1147,0.3661,0.3536,0.6049,0.5509,0.5779,0.4349,0.5306,0.4827,0.4176,0.4933,0.4554
14.3,0.1276,0.3814,0.3479,0.6339,0.5572,0.5956,0.4388,0.5336,0.4862,0.4178,0.4871,0.4525
14.4,0.1348,0.3981,0.3446,0.6615,0.5644,0.613,0.4437,0.5361,0.4899,0.4152,0.48,0.4476
14.5,0.1381,0.4158,0.3435,0.6874,0.5717,0.6296,0.4493,0.5375,0.4934,0.41,0.4725,0.4413
14.6,0.1391,0.434,0.3447,0.7116,0.5792,0.6454,0.4552,0.5375,0.4964,0.4029,0.4652,0.434
14.7,0.1393,0.4523,0.348,0.7335,0.5875,0.6605,0.4611,0.5357,0.4984,0.3946,0.4587,0.4267
14.8,0.139,0.4696,0.3533,0.7521,0.5967,0.6744,0.4661,0.5314,0.4988,0.3865,0.4535,0.42
14.9,0.1387,0.4846,0.3604,0.766,0.6055,0.6858,0.4696,0.5241,0.4969,0.3796,0.4502,0.4149
