Time,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.9,0.0932,0.4122,0.3863,0.612,0.3218,0.4669,0.7064,0.4978,0.6021,0.287,0.525,0.406
8,0.124,0.41,0.3649,0.5698,0.3262,0.448,0.6987,0.4842,0.5914,0.2777,0.501,0.3894
8.1,0.1541,0.4138,0.3498,0.5358,0.3372,0.4365,0.6903,0.4752,0.5828,0.2765,0.4827,0.3796
8.2,0.1829,0.4233,0.3403,0.5094,0.3533,0.4314,0.682,0.4707,0.5763,0.2835,0.4699,0.3767
8.3,0.2097,0.437,0.3357,0.4896,0.3724,0.431,0.6736,0.4693,0.5714,0.2983,0.462,0.3802
8.4,0.2345,0.4531,0.3356,0.4751,0.3926,0.4338,0.6651,0.4697,0.5674,0.3207,0.4584,0.3895
8.5,0.2581,0.4703,0.3399,0.466,0.4128,0.4394,0.6566,0.4717,0.5641,0.3496,0.459,0.4043
8.6,0.2811,0.488,0.3485,0.4626,0.433,0.4478,0.6483,0.476,0.5621,0.3841,0.4637,0.4239
8.7,0.3033,0.5061,0.3609,0.465,0.4532,0.4591,0.6406,0.4836,0.5621,0.4221,0.4722,0.4472
8.8,0.3245,0.5243,0.3759,0.4723,0.4734,0.4729,0.6342,0.4946,0.5644,0.4617,0.4839,0.4728
8.9,0.3447,0.5424,0.3925,0.4836,0.4931,0.4883,0.6297,0.5089,0.5693,0.5008,0.4979,0.4994
9,0.3645,0.56,0.4093,0.4977,0.5117,0.5047,0.6274,0.5265,0.577,0.5376,0.5132,0.5254
9.1,0.3842,0.5768,0.4256,0.5136,0.529,0.5213,0.6269,0.5472,0.587,0.57,0.5287,0.5494
9.2,0.4033,0.5924,0.4409,0.5303,0.5448,0.5376,0.627,0.57,0.5985,0.5963,0.5434,0.5699
9.3,0.4207,0.6068,0.4544,0.5468,0.5591,0.553,0.6268,0.5932,0.61,0.6154,0.5566,0.586
9.4,0.4365,0.6199,0.4656,0.5622,0.572,0.5671,0.6257,0.6153,0.6205,0.6271,0.568,0.5975
9.5,0.4512,0.6316,0.4742,0.5758,0.5834,0.5796,0.6237,0.6352,0.6295,0.6321,0.5773,0.6047
9.6,0.465,0.6415,0.48,0.5875,0.5927,0.5901,0.6212,0.6527,0.6369,0.6306,0.5844,0.6075
9.7,0.4776,0.649,0.4828,0.5965,0.5997,0.5981,0.6177,0.6674,0.6425,0.6227,0.5884,0.6056
9.8,0.4881,0.6536,0.4821,0.602,0.6045,0.6032,0.613,0.6787,0.6459,0.6083,0.5884,0.5984
9.9,0.4964,0.655,0.4776,0.603,0.6072,0.6051,0.6068,0.6864,0.6466,0.5877,0.5834,0.5855
10,0.5035,0.6528,0.4694,0.5993,0.6079,0.6036,0.599,0.6899,0.6444,0.5615,0.5731,0.5673
10.1,0.5102,0.6464,0.4581,0.5908,0.6063,0.5986,0.5892,0.6887,0.6389,0.5313,0.5577,0.5445
10.2,0.5172,0.6357,0.4446,0.578,0.602,0.59,0.5775,0.6826,0.63,0.4985,0.5376,0.5181
