Time,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
14,0.1527,0.5603,0.615,0.555,0.6402,0.5976,0.8024,0.6892,0.7458,0.758,0.7038,0.7309
14.1,0.1876,0.5764,0.6117,0.5806,0.6298,0.6052,0.8107,0.6891,0.7499,0.7437,0.6816,0.7126
14.2,0.2187,0.5892,0.6037,0.6027,0.6154,0.6091,0.813,0.6841,0.7485,0.7284,0.6585,0.6934
14.3,0.2459,0.599,0.5921,0.6215,0.5972,0.6094,0.8101,0.6748,0.7425,0.712,0.6346,0.6733
14.4,0.27,0.6062,0.5776,0.6376,0.5755,0.6065,0.803,0.6622,0.7326,0.6943,0.6099,0.6521
14.5,0.2916,0.6106,0.5609,0.651,0.5508,0.6009,0.7926,0.6473,0.72,0.6753,0.5843,0.6298
14.6,0.3109,0.6118,0.5422,0.6616,0.5239,0.5928,0.7794,0.6309,0.7051,0.6552,0.5579,0.6066
14.7,0.3281,0.6097,0.5222,0.6695,0.4951,0.5823,0.7637,0.614,0.6889,0.6345,0.531,0.5827
14.8,0.3432,0.6043,0.5013,0.675,0.4649,0.57,0.746,0.5977,0.6718,0.6131,0.5042,0.5586
14.9,0.3564,0.5959,0.48,0.6786,0.434,0.5563,0.7259,0.5823,0.6541,0.5907,0.4782,0.5345
15,0.3673,0.5848,0.4586,0.6806,0.4031,0.5419,0.7038,0.5681,0.636,0.5673,0.4538,0.5105
15.1,0.3756,0.5719,0.437,0.6812,0.3731,0.5272,0.6803,0.5552,0.6177,0.5427,0.4314,0.4871
15.2,0.3805,0.5581,0.4154,0.6805,0.3449,0.5127,0.6564,0.5435,0.5999,0.5175,0.4112,0.4643
15.3,0.3819,0.545,0.3945,0.679,0.3196,0.4993,0.6333,0.5333,0.5833,0.492,0.3936,0.4428
15.4,0.3795,0.5339,0.3754,0.6776,0.2987,0.4882,0.6122,0.5251,0.5687,0.4672,0.379,0.4231
15.5,0.3729,0.5254,0.3593,0.6767,0.2833,0.48,0.5934,0.5195,0.5564,0.4437,0.3678,0.4058
15.6,0.361,0.5194,0.3473,0.6764,0.2739,0.4751,0.5766,0.5164,0.5465,0.4222,0.3603,0.3912
15.7,0.3435,0.5152,0.3394,0.6767,0.2708,0.4737,0.5616,0.5154,0.5385,0.4037,0.3561,0.3799
15.8,0.3214,0.5124,0.3355,0.6779,0.2742,0.476,0.5485,0.5161,0.5323,0.3896,0.3552,0.3724
15.9,0.2973,0.5112,0.3353,0.6807,0.2838,0.4822,0.5378,0.5185,0.5281,0.381,0.3579,0.3694
16,0.2738,0.5117,0.3385,0.6855,0.299,0.4923,0.5299,0.5226,0.5262,0.3787,0.3648,0.3717
16.1,0.2531,0.5139,0.3448,0.6923,0.3196,0.506,0.5247,0.5278,0.5263,0.3824,0.3762,0.3793
16.2,0.2362,0.5175,0.3538,0.7008,0.3457,0.5233,0.5215,0.5336,0.5276,0.3912,0.3916,0.3914
16.3,0.2237,0.522,0.3647,0.71,0.3773,0.5437,0.5194,0.5389,0.5291,0.4037,0.4097,0.4067
16.4,0.2162,0.5272,0.377,0.7192,0.4136,0.5664,0.5179,0.5428,0.5304,0.4191,0.4291,0.4241
