Time,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
14.8,-0.1292,0.5631,0.5015,0.4597,0.4315,0.4456,0.6656,0.5784,0.622,0.6467,0.9407,0.7937
14.9,-0.1529,0.559,0.5069,0.4539,0.4349,0.4444,0.691,0.597,0.644,0.6485,0.9479,0.7982
15,-0.1805,0.5578,0.511,0.4533,0.442,0.4476,0.7132,0.6145,0.6639,0.6511,0.95,0.8005
15.1,-0.2113,0.5586,0.5136,0.4573,0.4517,0.4545,0.7321,0.63,0.681,0.6545,0.9467,0.8006
15.2,-0.2436,0.5612,0.5151,0.465,0.4635,0.4643,0.7472,0.6426,0.6949,0.6581,0.938,0.798
15.3,-0.2766,0.5659,0.5156,0.4759,0.4777,0.4768,0.758,0.6519,0.705,0.6616,0.9237,0.7926
15.4,-0.3104,0.5724,0.5146,0.4895,0.4941,0.4918,0.7633,0.6578,0.7105,0.6645,0.9036,0.784
15.5,-0.3451,0.5806,0.5117,0.5056,0.5123,0.5089,0.7623,0.6602,0.7113,0.666,0.8781,0.7721
15.6,-0.3803,0.5902,0.5066,0.524,0.5319,0.528,0.7553,0.6594,0.7073,0.6649,0.848,0.7565
15.7,-0.4151,0.6011,0.4998,0.5451,0.5531,0.5491,0.7431,0.656,0.6996,0.6606,0.8146,0.7376
15.8,-0.4492,0.6131,0.4918,0.5685,0.5759,0.5722,0.7271,0.6507,0.6889,0.6532,0.7789,0.7161
15.9,-0.4811,0.6263,0.4833,0.5941,0.6003,0.5972,0.7077,0.6442,0.676,0.6433,0.742,0.6927
16,-0.5079,0.641,0.475,0.6216,0.6263,0.6239,0.6862,0.637,0.6616,0.6322,0.7057,0.669
16.1,-0.5272,0.6577,0.4677,0.6507,0.6532,0.6519,0.6643,0.6296,0.647,0.6215,0.672,0.6467
16.2,-0.5387,0.6763,0.4619,0.6806,0.6801,0.6803,0.6444,0.6224,0.6334,0.6122,0.6424,0.6273
16.3,-0.5431,0.6966,0.4581,0.71,0.7057,0.7079,0.6286,0.6157,0.6221,0.6045,0.6177,0.6111
16.4,-0.5424,0.7174,0.4567,0.737,0.729,0.733,0.6181,0.6101,0.6141,0.5982,0.5978,0.598
16.5,-0.5389,0.7375,0.4576,0.7603,0.749,0.7546,0.6135,0.6061,0.6098,0.5927,0.5821,0.5874
16.6,-0.5339,0.7559,0.461,0.7791,0.7652,0.7722,0.6145,0.6042,0.6093,0.5882,0.5704,0.5793
16.7,-0.5274,0.7725,0.4671,0.7944,0.778,0.7862,0.6197,0.6045,0.6121,0.5848,0.5626,0.5737
16.8,-0.519,0.7873,0.4761,0.8073,0.7879,0.7976,0.6282,0.6071,0.6177,0.5828,0.5587,0.5708
16.9,-0.5084,0.7998,0.4877,0.8183,0.7953,0.8068,0.6389,0.6119,0.6254,0.582,0.5587,0.5703
17,-0.4948,0.8091,0.501,0.8271,0.7999,0.8135,0.651,0.6183,0.6346,0.5821,0.5618,0.572
17.1,-0.477,0.8133,0.5147,0.8328,0.8009,0.8168,0.6638,0.6256,0.6447,0.5835,0.5674,0.5754
17.2,-0.4537,0.811,0.5278,0.8347,0.7978,0.8162,0.6772,0.6333,0.6552,0.5863,0.5752,0.5807
17.3,-0.4255,0.8019,0.5402,0.833,0.7909,0.812,0.6914,0.6407,0.6661,0.5905,0.5849,0.5877
17.4,-0.3941,0.7865,0.552,0.8288,0.7813,0.805,0.7061,0.6477,0.6769,0.5954,0.5964,0.5959
17.5,-0.3613,0.7663,0.5632,0.8229,0.77,0.7964,0.7206,0.6541,0.6874,0.6007,0.6089,0.6048
17.6,-0.3287,0.7422,0.5734,0.8161,0.7575,0.7868,0.7339,0.6594,0.6967,0.6059,0.6214,0.6136
17.7,-0.2969,0.7149,0.5813,0.8086,0.7437,0.7762,0.7448,0.6627,0.7037,0.6106,0.6328,0.6217
17.8,-0.2668,0.6851,0.5859,0.8003,0.7282,0.7642,0.7518,0.6626,0.7072,0.6135,0.6419,0.6277
17.9,-0.2399,0.6536,0.586,0.7911,0.7109,0.751,0.7542,0.6583,0.7062,0.6132,0.6476,0.6304
18,-0.2176,0.6217,0.5814,0.7818,0.6926,0.7372,0.7516,0.6497,0.7006,0.6089,0.6498,0.6293
18.1,-0.1995,0.5905,0.5718,0.7731,0.6736,0.7233,0.7447,0.6369,0.6908,0.6007,0.6488,0.6248
18.2,-0.1842,0.5612,0.5577,0.7657,0.654,0.7098,0.7344,0.6204,0.6774,0.5901,0.6449,0.6175
18.3,-0.17,0.5344,0.54,0.7595,0.6341,0.6968,0.7212,0.6008,0.661,0.5786,0.6387,0.6086
18.4,-0.1564,0.5107,0.5199,0.754,0.6149,0.6845,0.706,0.5795,0.6427,0.5671,0.6305,0.5988
18.5,-0.1419,0.491,0.499,0.7486,0.5979,0.6733,0.6894,0.5582,0.6238,0.5563,0.6212,0.5887
18.6,-0.1252,0.4759,0.4784,0.743,0.5846,0.6638,0.6722,0.5386,0.6054,0.5471,0.6116,0.5793
