Time,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.3,0.0964,0.7952,0.7578,0.865,0.4977,0.6813,0.5005,0.4703,0.4854,0.6272,0.8224,0.7248
11.4,0.1136,0.8051,0.7511,0.8921,0.5163,0.7042,0.5161,0.4886,0.5023,0.5928,0.7788,0.6858
11.5,0.1261,0.8135,0.7432,0.9154,0.5391,0.7273,0.53,0.5061,0.5181,0.5604,0.7332,0.6468
11.6,0.1341,0.8207,0.7335,0.934,0.5656,0.7498,0.5419,0.5232,0.5326,0.5308,0.6875,0.6092
11.7,0.1381,0.8268,0.7215,0.9476,0.5945,0.7711,0.5519,0.5404,0.5461,0.5045,0.6432,0.5739
11.8,0.1396,0.831,0.7072,0.9563,0.624,0.7901,0.5598,0.5578,0.5588,0.4819,0.6016,0.5418
11.9,0.1402,0.8329,0.6914,0.9603,0.6523,0.8063,0.5655,0.5758,0.5706,0.4632,0.5635,0.5134
12,0.1412,0.8323,0.6748,0.9601,0.6788,0.8195,0.5687,0.5944,0.5815,0.4477,0.5297,0.4887
12.1,0.142,0.8297,0.6582,0.956,0.7035,0.8297,0.5688,0.6141,0.5914,0.4346,0.5004,0.4675
12.2,0.1419,0.8251,0.642,0.9479,0.726,0.8369,0.5652,0.6353,0.6003,0.4235,0.4759,0.4497
12.3,0.1413,0.8182,0.6269,0.9354,0.7453,0.8404,0.558,0.6589,0.6084,0.4146,0.4565,0.4356
12.4,0.1411,0.8089,0.6137,0.9183,0.76,0.8392,0.5475,0.6849,0.6162,0.4087,0.4428,0.4258
12.5,0.1419,0.7974,0.6034,0.8963,0.7693,0.8328,0.5341,0.7134,0.6237,0.4066,0.4353,0.4209
12.6,0.1435,0.7842,0.5972,0.8692,0.7733,0.8212,0.5182,0.7438,0.631,0.4088,0.4345,0.4216
12.7,0.1457,0.7694,0.5962,0.8369,0.7719,0.8044,0.5002,0.7765,0.6383,0.4162,0.4403,0.4282
12.8,0.148,0.7526,0.6013,0.8,0.7649,0.7824,0.4813,0.8119,0.6466,0.429,0.4528,0.4409
12.9,0.1493,0.7336,0.6134,0.7599,0.7521,0.756,0.463,0.8499,0.6564,0.4477,0.4715,0.4596
13,0.1477,0.7129,0.6327,0.719,0.7335,0.7262,0.447,0.8887,0.6679,0.4732,0.4966,0.4849
13.1,0.142,0.6916,0.6599,0.6794,0.7104,0.6949,0.4347,0.926,0.6804,0.5064,0.5276,0.517
13.2,0.1317,0.6705,0.6958,0.6422,0.6846,0.6634,0.427,0.9598,0.6934,0.5481,0.564,0.5561
13.3,0.1174,0.6501,0.7408,0.6071,0.6575,0.6323,0.4239,0.9888,0.7064,0.5993,0.6049,0.6021
